NAMESPACE            NAME                                                              READY   STATUS    RESTARTS   AGE   IP            NODE                                      NOMINATED NODE   READINESS GATES
kube-system          coredns-6955765f44-cj7ks                                          1/1     Running   0          21m   10.244.0.2    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
kube-system          coredns-6955765f44-sqns8                                          1/1     Running   0          21m   10.244.0.4    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
kube-system          etcd-cloudtest-kind-8a1853245b-control-plane                      1/1     Running   0          21m   172.17.0.3    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
kube-system          kindnet-c6rs2                                                     1/1     Running   0          21m   172.17.0.3    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
kube-system          kindnet-gnvzd                                                     1/1     Running   0          21m   172.17.0.4    cloudtest-kind-8a1853245b-worker2         <none>           <none>
kube-system          kindnet-sk257                                                     1/1     Running   0          21m   172.17.0.2    cloudtest-kind-8a1853245b-worker          <none>           <none>
kube-system          kube-apiserver-cloudtest-kind-8a1853245b-control-plane            1/1     Running   0          21m   172.17.0.3    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
kube-system          kube-controller-manager-cloudtest-kind-8a1853245b-control-plane   1/1     Running   0          21m   172.17.0.3    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
kube-system          kube-proxy-jkh8f                                                  1/1     Running   0          21m   172.17.0.3    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
kube-system          kube-proxy-m8k8q                                                  1/1     Running   0          21m   172.17.0.2    cloudtest-kind-8a1853245b-worker          <none>           <none>
kube-system          kube-proxy-rrt9l                                                  1/1     Running   0          21m   172.17.0.4    cloudtest-kind-8a1853245b-worker2         <none>           <none>
kube-system          kube-scheduler-cloudtest-kind-8a1853245b-control-plane            1/1     Running   0          21m   172.17.0.3    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-7745554f7f-6g5d7                           1/1     Running   0          21m   10.244.0.3    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
nsm-system           icmp-responder-nse-2                                              1/1     Running   0          13m   10.244.2.19   cloudtest-kind-8a1853245b-worker          <none>           <none>
nsm-system           icmp-responder-nse-3                                              1/1     Running   0          13m   10.244.2.20   cloudtest-kind-8a1853245b-worker          <none>           <none>
nsm-system           nsmd-forwarder-cloudtest-kind-8a1853245b-worker                   1/1     Running   0          14m   172.17.0.2    cloudtest-kind-8a1853245b-worker          <none>           <none>
nsm-system           nsmgr-cloudtest-kind-8a1853245b-worker                            3/3     Running   0          13m   10.244.2.21   cloudtest-kind-8a1853245b-worker          <none>           <none>
nsm-system           prefix-service                                                    1/1     Running   0          14m   10.244.2.16   cloudtest-kind-8a1853245b-worker          <none>           <none>
nsm-system           spire-proxy                                                       1/1     Running   0          14m   10.244.2.15   cloudtest-kind-8a1853245b-worker          <none>           <none>
spire                spire-agent-t72wk                                                 1/1     Running   0          18m   172.17.0.2    cloudtest-kind-8a1853245b-worker          <none>           <none>
spire                spire-agent-vc6zj                                                 1/1     Running   0          18m   172.17.0.3    cloudtest-kind-8a1853245b-control-plane   <none>           <none>
spire                spire-agent-vp6pj                                                 1/1     Running   0          18m   172.17.0.4    cloudtest-kind-8a1853245b-worker2         <none>           <none>
spire                spire-server-0                                                    2/2     Running   0          18m   10.244.1.2    cloudtest-kind-8a1853245b-worker2         <none>           <none>
