NAMESPACE            NAME                                                              READY   STATUS    RESTARTS   AGE     IP            NODE                                      NOMINATED NODE   READINESS GATES
kube-system          coredns-6955765f44-55sgd                                          1/1     Running   0          11m     10.244.0.3    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
kube-system          coredns-6955765f44-fwc4g                                          1/1     Running   0          11m     10.244.0.4    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
kube-system          etcd-cloudtest-kind-16b381ca64-control-plane                      1/1     Running   0          11m     172.17.0.2    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
kube-system          kindnet-c77nc                                                     1/1     Running   0          11m     172.17.0.3    cloudtest-kind-16b381ca64-worker2         <none>           <none>
kube-system          kindnet-g2z7s                                                     1/1     Running   0          11m     172.17.0.2    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
kube-system          kindnet-h5nx2                                                     1/1     Running   0          11m     172.17.0.4    cloudtest-kind-16b381ca64-worker          <none>           <none>
kube-system          kube-apiserver-cloudtest-kind-16b381ca64-control-plane            1/1     Running   0          11m     172.17.0.2    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
kube-system          kube-controller-manager-cloudtest-kind-16b381ca64-control-plane   1/1     Running   0          11m     172.17.0.2    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
kube-system          kube-proxy-c5zhh                                                  1/1     Running   0          11m     172.17.0.3    cloudtest-kind-16b381ca64-worker2         <none>           <none>
kube-system          kube-proxy-jm8qh                                                  1/1     Running   0          11m     172.17.0.4    cloudtest-kind-16b381ca64-worker          <none>           <none>
kube-system          kube-proxy-qh6vz                                                  1/1     Running   0          11m     172.17.0.2    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
kube-system          kube-scheduler-cloudtest-kind-16b381ca64-control-plane            1/1     Running   0          11m     172.17.0.2    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-7745554f7f-7zh68                           1/1     Running   0          11m     10.244.0.2    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
nsm-system           icmp-responder-nse-2                                              1/1     Running   0          4m36s   10.244.1.9    cloudtest-kind-16b381ca64-worker          <none>           <none>
nsm-system           icmp-responder-nse-3                                              1/1     Running   0          4m34s   10.244.1.10   cloudtest-kind-16b381ca64-worker          <none>           <none>
nsm-system           jaeger                                                            1/1     Running   0          6m22s   10.244.2.9    cloudtest-kind-16b381ca64-worker2         <none>           <none>
nsm-system           nsmd-forwarder-cloudtest-kind-16b381ca64-worker                   1/1     Running   0          4m58s   172.17.0.4    cloudtest-kind-16b381ca64-worker          <none>           <none>
nsm-system           nsmgr-cloudtest-kind-16b381ca64-worker                            3/3     Running   0          4m17s   10.244.1.11   cloudtest-kind-16b381ca64-worker          <none>           <none>
nsm-system           prefix-service                                                    1/1     Running   0          5m1s    10.244.2.10   cloudtest-kind-16b381ca64-worker2         <none>           <none>
nsm-system           spire-proxy                                                       1/1     Running   0          5m1s    10.244.2.11   cloudtest-kind-16b381ca64-worker2         <none>           <none>
spire                spire-agent-4dzph                                                 1/1     Running   0          8m30s   172.17.0.2    cloudtest-kind-16b381ca64-control-plane   <none>           <none>
spire                spire-agent-n57qs                                                 1/1     Running   0          8m30s   172.17.0.4    cloudtest-kind-16b381ca64-worker          <none>           <none>
spire                spire-agent-srj2s                                                 1/1     Running   0          8m30s   172.17.0.3    cloudtest-kind-16b381ca64-worker2         <none>           <none>
spire                spire-server-0                                                    2/2     Running   0          8m30s   10.244.1.2    cloudtest-kind-16b381ca64-worker          <none>           <none>
