==== START logs for container etcd of pod kube-system/etcd-kind-1-control-plane ====
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-05-27 04:44:18.192019 I | etcdmain: etcd Version: 3.4.3
2021-05-27 04:44:18.192065 I | etcdmain: Git SHA: 3cf2f69b5
2021-05-27 04:44:18.192071 I | etcdmain: Go Version: go1.12.12
2021-05-27 04:44:18.192078 I | etcdmain: Go OS/Arch: linux/amd64
2021-05-27 04:44:18.192084 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-05-27 04:44:18.192177 I | embed: peerTLS: cert = /etc/kubernetes/pki/etcd/peer.crt, key = /etc/kubernetes/pki/etcd/peer.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2021-05-27 04:44:18.194040 I | embed: name = kind-1-control-plane
2021-05-27 04:44:18.194056 I | embed: data dir = /var/lib/etcd
2021-05-27 04:44:18.194063 I | embed: member dir = /var/lib/etcd/member
2021-05-27 04:44:18.194068 I | embed: heartbeat = 100ms
2021-05-27 04:44:18.194073 I | embed: election = 1000ms
2021-05-27 04:44:18.194078 I | embed: snapshot count = 10000
2021-05-27 04:44:18.194088 I | embed: advertise client URLs = https://172.17.0.2:2379
2021-05-27 04:44:18.206161 I | etcdserver: starting member b8e14bda2255bc24 in cluster 38b0e74a458e7a1f
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 switched to configuration voters=()
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 became follower at term 0
raft2021/05/27 04:44:18 INFO: newRaft b8e14bda2255bc24 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 became follower at term 1
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 switched to configuration voters=(13322012572989635620)
2021-05-27 04:44:18.240324 W | auth: simple token is not cryptographically signed
2021-05-27 04:44:18.245434 I | etcdserver: starting server... [version: 3.4.3, cluster version: to_be_decided]
2021-05-27 04:44:18.245863 I | etcdserver: b8e14bda2255bc24 as single-node; fast-forwarding 9 ticks (election ticks 10)
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 switched to configuration voters=(13322012572989635620)
2021-05-27 04:44:18.246790 I | etcdserver/membership: added member b8e14bda2255bc24 [https://172.17.0.2:2380] to cluster 38b0e74a458e7a1f
2021-05-27 04:44:18.250128 I | embed: ClientTLS: cert = /etc/kubernetes/pki/etcd/server.crt, key = /etc/kubernetes/pki/etcd/server.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2021-05-27 04:44:18.250492 I | embed: listening for peers on 172.17.0.2:2380
2021-05-27 04:44:18.250869 I | embed: listening for metrics on http://127.0.0.1:2381
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 is starting a new election at term 1
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 became candidate at term 2
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 received MsgVoteResp from b8e14bda2255bc24 at term 2
raft2021/05/27 04:44:18 INFO: b8e14bda2255bc24 became leader at term 2
raft2021/05/27 04:44:18 INFO: raft.node: b8e14bda2255bc24 elected leader b8e14bda2255bc24 at term 2
2021-05-27 04:44:18.617176 I | etcdserver: setting up the initial cluster version to 3.4
2021-05-27 04:44:18.617913 I | etcdserver: published {Name:kind-1-control-plane ClientURLs:[https://172.17.0.2:2379]} to cluster 38b0e74a458e7a1f
2021-05-27 04:44:18.618216 I | embed: ready to serve client requests
2021-05-27 04:44:18.620895 I | embed: serving client requests on 172.17.0.2:2379
2021-05-27 04:44:18.621616 I | embed: ready to serve client requests
2021-05-27 04:44:18.624801 I | embed: serving client requests on 127.0.0.1:2379
2021-05-27 04:44:18.628514 N | etcdserver/membership: set the initial cluster version to 3.4
2021-05-27 04:44:18.629573 I | etcdserver/api: enabled capabilities for version 3.4
2021-05-27 04:44:30.872700 W | etcdserver: request "header:<ID:13557094558523828939 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/serviceaccounts/kube-system/job-controller\" mod_revision:278 > success:<request_put:<key:\"/registry/serviceaccounts/kube-system/job-controller\" value_size:164 >> failure:<request_range:<key:\"/registry/serviceaccounts/kube-system/job-controller\" > >>" with result "size:16" took too long (136.933621ms) to execute
2021-05-27 04:44:30.873163 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/clusterrole-aggregation-controller\" " with result "range_response_count:0 size:5" took too long (284.60072ms) to execute
