==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
2021-05-27 04:48:14.821643 I | etcdmain: etcd Version: 3.2.13
2021-05-27 04:48:14.821737 I | etcdmain: Git SHA: 95a726a
2021-05-27 04:48:14.821741 I | etcdmain: Go Version: go1.8.5
2021-05-27 04:48:14.821745 I | etcdmain: Go OS/Arch: linux/amd64
2021-05-27 04:48:14.821749 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-05-27 04:48:14.821830 I | embed: listening for peers on http://0.0.0.0:2380
2021-05-27 04:48:14.821864 I | embed: listening for client requests on 0.0.0.0:2379
2021-05-27 04:48:14.832976 I | pkg/netutil: resolving wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-05-27 04:48:14.835998 W | pkg/netutil: failed resolving host wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-27 04:48:15.837871 I | pkg/netutil: resolving wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-05-27 04:48:15.837961 I | etcdserver: name = wcm-etcd-cluster-p9b8g5x6r9
2021-05-27 04:48:15.837970 I | etcdserver: data dir = /var/etcd/data
2021-05-27 04:48:15.837977 I | etcdserver: member dir = /var/etcd/data/member
2021-05-27 04:48:15.837983 I | etcdserver: heartbeat = 100ms
2021-05-27 04:48:15.837987 I | etcdserver: election = 1000ms
