NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
default              member-core-operator-55bdfffc85-j5jwg          1/1     Running   0          10h   10.244.0.6    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-nzz4v                       1/1     Running   0          10h   10.244.0.3    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-rfrkf                       1/1     Running   0          10h   10.244.0.4    kind-2-control-plane   <none>           <none>
kube-system          etcd-kind-2-control-plane                      1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kindnet-rdvhz                                  1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-2-control-plane            1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-2-control-plane   1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-proxy-wx7rn                               1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-2-control-plane            1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-wv7z8         1/1     Running   0          10h   10.244.0.2    kind-2-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-5gd8m                    1/1     Running   0          10h   10.244.0.5    kind-2-control-plane   <none>           <none>
metallb-system       speaker-qch77                                  1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-5d88f56767-2xf8f      1/1     Running   0          10h   10.244.0.7    kind-2-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-mjvb5                    1/1     Running   0          10h   10.244.0.8    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-65cfbdd6b9-4rjkr     1/1     Running   0          10h   10.244.0.10   kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-2q8bm                    1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-2kgp7                                3/3     Running   0          10h   10.244.0.12   kind-2-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-5796ffd7cc-sdjpp               2/2     Running   0          10h   10.244.0.11   kind-2-control-plane   <none>           <none>
spire                wcm-spire-agent-2bmvw                          1/1     Running   0          10h   172.17.0.3    kind-2-control-plane   <none>           <none>
spire                wcm-spire-server-0                             2/2     Running   0          10h   10.244.0.9    kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-green-7cff555995-6h7x6                 1/1     Running   0          10h   10.244.0.16   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-green-7cff555995-qb6kp                 1/1     Running   0          10h   10.244.0.15   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-5b69d8f7f8-j2h58             1/1     Running   0          10h   10.244.0.13   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-6857b7ffbd-jb57r              1/1     Running   0          10h   10.244.0.14   kind-2-control-plane   <none>           <none>
