==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
2021-06-01 17:44:02.831287 I | etcdmain: etcd Version: 3.2.13
2021-06-01 17:44:02.831371 I | etcdmain: Git SHA: 95a726a
2021-06-01 17:44:02.831376 I | etcdmain: Go Version: go1.8.5
2021-06-01 17:44:02.831380 I | etcdmain: Go OS/Arch: linux/amd64
2021-06-01 17:44:02.831385 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-06-01 17:44:02.831467 I | embed: listening for peers on http://0.0.0.0:2380
2021-06-01 17:44:02.831521 I | embed: listening for client requests on 0.0.0.0:2379
2021-06-01 17:44:02.838759 I | pkg/netutil: resolving wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-06-01 17:44:02.840366 I | pkg/netutil: resolving wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-06-01 17:44:02.840470 I | etcdserver: name = wcm-etcd-cluster-xspddnbbcf
2021-06-01 17:44:02.840479 I | etcdserver: data dir = /var/etcd/data
2021-06-01 17:44:02.840486 I | etcdserver: member dir = /var/etcd/data/member
2021-06-01 17:44:02.840492 I | etcdserver: heartbeat = 100ms
2021-06-01 17:44:02.840501 I | etcdserver: election = 1000ms
2021-06-01 17:44:02.840506 I | etcdserver: snapshot count = 100000
2021-06-01 17:44:02.840519 I | etcdserver: advertise client URLs = http://wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc:2379
2021-06-01 17:44:02.840533 I | etcdserver: initial advertise peer URLs = http://wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-01 17:44:02.840547 I | etcdserver: initial cluster = wcm-etcd-cluster-xspddnbbcf=http://wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-01 17:44:02.845053 I | etcdserver: starting member 7ef515033cdbaf0c in cluster dd288fd50548524e
2021-06-01 17:44:02.845112 I | raft: 7ef515033cdbaf0c became follower at term 0
2021-06-01 17:44:02.845126 I | raft: newRaft 7ef515033cdbaf0c [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2021-06-01 17:44:02.845134 I | raft: 7ef515033cdbaf0c became follower at term 1
2021-06-01 17:44:02.852834 W | auth: simple token is not cryptographically signed
2021-06-01 17:44:02.855836 I | etcdserver: starting server... [version: 3.2.13, cluster version: to_be_decided]
2021-06-01 17:44:02.856508 I | etcdserver/membership: added member 7ef515033cdbaf0c [http://wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc:2380] to cluster dd288fd50548524e
2021-06-01 17:44:03.245585 I | raft: 7ef515033cdbaf0c is starting a new election at term 1
