NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
default              helloworld-green-69fb4df559-wj75m              3/3     Running   0          4m17s   10.244.0.17   kind-2-control-plane   <none>           <none>
default              member-core-operator-55bdfffc85-v8t5q          1/1     Running   0          18m     10.244.0.6    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-wph25                       1/1     Running   0          22m     10.244.0.4    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-xjgzc                       1/1     Running   0          22m     10.244.0.2    kind-2-control-plane   <none>           <none>
kube-system          etcd-kind-2-control-plane                      1/1     Running   0          22m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kindnet-s255k                                  1/1     Running   0          22m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-2-control-plane            1/1     Running   0          22m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-2-control-plane   1/1     Running   0          22m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-proxy-p6nf9                               1/1     Running   0          22m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-2-control-plane            1/1     Running   0          22m     172.17.0.3    kind-2-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-c7xs9         1/1     Running   0          22m     10.244.0.3    kind-2-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-qd7rp                    1/1     Running   0          18m     10.244.0.5    kind-2-control-plane   <none>           <none>
metallb-system       speaker-9zl6d                                  1/1     Running   0          18m     172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-5d88f56767-cnpbn      1/1     Running   1          18m     10.244.0.7    kind-2-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-8mg9s                    1/1     Running   0          18m     10.244.0.8    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-65cfbdd6b9-dzwhf     1/1     Running   0          18m     10.244.0.10   kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-j7v85                    1/1     Running   0          18m     172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-f42k6                                3/3     Running   0          18m     10.244.0.12   kind-2-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-5796ffd7cc-7nw75               2/2     Running   0          18m     10.244.0.11   kind-2-control-plane   <none>           <none>
spire                wcm-spire-agent-nbx4l                          1/1     Running   0          18m     172.17.0.3    kind-2-control-plane   <none>           <none>
spire                wcm-spire-server-0                             2/2     Running   0          18m     10.244.0.9    kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-green-7cff555995-5cmrk                 1/1     Running   0          5m29s   10.244.0.16   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-green-7cff555995-8x7xb                 1/1     Running   0          5m29s   10.244.0.15   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-5b69d8f7f8-w2zf5             1/1     Running   0          18m     10.244.0.13   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-6857b7ffbd-t56tj              1/1     Running   0          17m     10.244.0.14   kind-2-control-plane   <none>           <none>
