==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-kind-1-control-plane ====
I0615 17:03:35.674696       1 serving.go:312] Generated self-signed cert in-memory
I0615 17:03:35.984558       1 controllermanager.go:161] Version: v1.17.5
I0615 17:03:35.985964       1 dynamic_cafile_content.go:166] Starting request-header::/etc/kubernetes/pki/front-proxy-ca.crt
I0615 17:03:35.986038       1 dynamic_cafile_content.go:166] Starting client-ca-bundle::/etc/kubernetes/pki/ca.crt
I0615 17:03:35.986353       1 secure_serving.go:178] Serving securely on 127.0.0.1:10257
I0615 17:03:35.986531       1 tlsconfig.go:219] Starting DynamicServingCertificateController
I0615 17:03:35.987031       1 deprecated_insecure_serving.go:53] Serving insecurely on [::]:10252
I0615 17:03:35.987219       1 leaderelection.go:242] attempting to acquire leader lease  kube-system/kube-controller-manager...
E0615 17:03:39.277974       1 leaderelection.go:331] error retrieving resource lock kube-system/kube-controller-manager: endpoints "kube-controller-manager" is forbidden: User "system:kube-controller-manager" cannot get resource "endpoints" in API group "" in the namespace "kube-system"
I0615 17:03:43.045533       1 leaderelection.go:252] successfully acquired lease kube-system/kube-controller-manager
I0615 17:03:43.045788       1 event.go:281] Event(v1.ObjectReference{Kind:"Endpoints", Namespace:"kube-system", Name:"kube-controller-manager", UID:"a58f9fa8-03c6-4ff1-83fd-f4f03b67fd83", APIVersion:"v1", ResourceVersion:"200", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' kind-1-control-plane_11e2e592-7afb-4fe7-946a-5e4046624743 became leader
I0615 17:03:43.045908       1 event.go:281] Event(v1.ObjectReference{Kind:"Lease", Namespace:"kube-system", Name:"kube-controller-manager", UID:"e59cc631-1391-4e30-8dc6-dcfc47b09c73", APIVersion:"coordination.k8s.io/v1", ResourceVersion:"201", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' kind-1-control-plane_11e2e592-7afb-4fe7-946a-5e4046624743 became leader
I0615 17:03:43.304286       1 plugins.go:100] No cloud provider specified.
I0615 17:03:43.309662       1 shared_informer.go:197] Waiting for caches to sync for tokens
I0615 17:03:43.410537       1 shared_informer.go:204] Caches are synced for tokens 
I0615 17:03:43.438068       1 controllermanager.go:533] Started "csrapproving"
I0615 17:03:43.438250       1 certificate_controller.go:118] Starting certificate controller "csrapproving"
I0615 17:03:43.438261       1 shared_informer.go:197] Waiting for caches to sync for certificate-csrapproving
I0615 17:03:43.459887       1 controllermanager.go:533] Started "ttl"
I0615 17:03:43.460226       1 ttl_controller.go:116] Starting TTL controller
I0615 17:03:43.460252       1 shared_informer.go:197] Waiting for caches to sync for TTL
I0615 17:03:43.481190       1 controllermanager.go:533] Started "pvc-protection"
I0615 17:03:43.481403       1 pvc_protection_controller.go:100] Starting PVC protection controller
I0615 17:03:43.481876       1 shared_informer.go:197] Waiting for caches to sync for PVC protection
I0615 17:03:43.505372       1 controllermanager.go:533] Started "podgc"
I0615 17:03:43.505544       1 gc_controller.go:88] Starting GC controller
I0615 17:03:43.505558       1 shared_informer.go:197] Waiting for caches to sync for GC
I0615 17:03:43.533764       1 controllermanager.go:533] Started "serviceaccount"
I0615 17:03:43.534031       1 serviceaccounts_controller.go:116] Starting service account controller
I0615 17:03:43.534061       1 shared_informer.go:197] Waiting for caches to sync for service account
I0615 17:03:43.555072       1 controllermanager.go:533] Started "deployment"
I0615 17:03:43.555273       1 deployment_controller.go:152] Starting deployment controller
I0615 17:03:43.555285       1 shared_informer.go:197] Waiting for caches to sync for deployment
I0615 17:03:43.578681       1 controllermanager.go:533] Started "persistentvolume-binder"
I0615 17:03:43.578707       1 pv_controller_base.go:294] Starting persistent volume controller
I0615 17:03:43.578800       1 shared_informer.go:197] Waiting for caches to sync for persistent volume
I0615 17:03:43.812024       1 controllermanager.go:533] Started "pv-protection"
I0615 17:03:43.812067       1 pv_protection_controller.go:81] Starting PV protection controller
I0615 17:03:43.812407       1 shared_informer.go:197] Waiting for caches to sync for PV protection
I0615 17:03:44.062325       1 controllermanager.go:533] Started "replicationcontroller"
I0615 17:03:44.062402       1 replica_set.go:180] Starting replicationcontroller controller
I0615 17:03:44.062412       1 shared_informer.go:197] Waiting for caches to sync for ReplicationController
I0615 17:03:44.312012       1 controllermanager.go:533] Started "bootstrapsigner"
I0615 17:03:44.312079       1 shared_informer.go:197] Waiting for caches to sync for bootstrap_signer
I0615 17:03:44.562354       1 node_ipam_controller.go:94] Sending events to api server.
I0615 17:03:54.571860       1 range_allocator.go:82] Sending events to api server.
I0615 17:03:54.575588       1 range_allocator.go:116] No Secondary Service CIDR provided. Skipping filtering out secondary service addresses.
I0615 17:03:54.575646       1 controllermanager.go:533] Started "nodeipam"
W0615 17:03:54.575661       1 core.go:246] configure-cloud-routes is set, but no cloud provider specified. Will not configure cloud provider routes.
W0615 17:03:54.575671       1 controllermanager.go:525] Skipping "route"
W0615 17:03:54.575682       1 controllermanager.go:525] Skipping "root-ca-cert-publisher"
W0615 17:03:54.575705       1 controllermanager.go:525] Skipping "endpointslice"
I0615 17:03:54.576026       1 node_ipam_controller.go:162] Starting ipam controller
I0615 17:03:54.576051       1 shared_informer.go:197] Waiting for caches to sync for node
I0615 17:03:54.604276       1 controllermanager.go:533] Started "statefulset"
I0615 17:03:54.604575       1 stateful_set.go:145] Starting stateful set controller
I0615 17:03:54.604601       1 shared_informer.go:197] Waiting for caches to sync for stateful set
I0615 17:03:54.614252       1 node_lifecycle_controller.go:388] Sending events to api server.
I0615 17:03:54.614832       1 node_lifecycle_controller.go:423] Controller is using taint based evictions.
I0615 17:03:54.614950       1 taint_manager.go:162] Sending events to api server.
I0615 17:03:54.615032       1 node_lifecycle_controller.go:520] Controller will reconcile labels.
I0615 17:03:54.615090       1 controllermanager.go:533] Started "nodelifecycle"
I0615 17:03:54.615277       1 node_lifecycle_controller.go:554] Starting node controller
I0615 17:03:54.615289       1 shared_informer.go:197] Waiting for caches to sync for taint
E0615 17:03:54.636459       1 core.go:91] Failed to start service controller: WARNING: no cloud provider provided, services of type LoadBalancer will fail
W0615 17:03:54.636881       1 controllermanager.go:525] Skipping "service"
I0615 17:03:54.658941       1 controllermanager.go:533] Started "attachdetach"
I0615 17:03:54.659157       1 attach_detach_controller.go:342] Starting attach detach controller
I0615 17:03:54.659426       1 shared_informer.go:197] Waiting for caches to sync for attach detach
I0615 17:03:54.678637       1 controllermanager.go:533] Started "clusterrole-aggregation"
I0615 17:03:54.678947       1 clusterroleaggregation_controller.go:148] Starting ClusterRoleAggregator
I0615 17:03:54.678993       1 shared_informer.go:197] Waiting for caches to sync for ClusterRoleAggregator
I0615 17:03:54.712827       1 controllermanager.go:533] Started "disruption"
I0615 17:03:54.713117       1 disruption.go:330] Starting disruption controller
I0615 17:03:54.713142       1 shared_informer.go:197] Waiting for caches to sync for disruption
I0615 17:03:55.533458       1 garbagecollector.go:129] Starting garbage collector controller
I0615 17:03:55.533561       1 shared_informer.go:197] Waiting for caches to sync for garbage collector
I0615 17:03:55.533529       1 controllermanager.go:533] Started "garbagecollector"
I0615 17:03:55.533766       1 graph_builder.go:282] GraphBuilder running
I0615 17:03:55.551541       1 controllermanager.go:533] Started "job"
I0615 17:03:55.551724       1 job_controller.go:143] Starting job controller
I0615 17:03:55.551735       1 shared_informer.go:197] Waiting for caches to sync for job
I0615 17:03:55.569634       1 controllermanager.go:533] Started "cronjob"
I0615 17:03:55.569845       1 cronjob_controller.go:97] Starting CronJob Manager
I0615 17:03:55.778663       1 controllermanager.go:533] Started "endpoint"
I0615 17:03:55.778764       1 endpoints_controller.go:181] Starting endpoint controller
I0615 17:03:55.779041       1 shared_informer.go:197] Waiting for caches to sync for endpoint
