NAMESPACE            NAME                                            READY   STATUS    RESTARTS   AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
istio-system         istio-ingressgateway-5c658595cb-n9kvt           1/1     Running   0          12m     10.244.0.15   kind-1-control-plane   <none>           <none>
istio-system         istio-operator-69678d7cfb-jxdsr                 1/1     Running   0          13m     10.244.0.12   kind-1-control-plane   <none>           <none>
istio-system         istiod-85c587c85c-bg6xv                         1/1     Running   0          12m     10.244.0.14   kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-fl5hd                        1/1     Running   0          29m     10.244.0.3    kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-vl748                        1/1     Running   0          29m     10.244.0.4    kind-1-control-plane   <none>           <none>
kube-system          etcd-kind-1-control-plane                       1/1     Running   0          29m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kindnet-g94nr                                   1/1     Running   0          29m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-1-control-plane             1/1     Running   0          29m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-1-control-plane    1/1     Running   0          29m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-proxy-9rlgg                                1/1     Running   0          29m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-1-control-plane             1/1     Running   0          29m     172.17.0.2    kind-1-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-fbgr4          1/1     Running   0          29m     10.244.0.2    kind-1-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-wt7tj                     1/1     Running   0          13m     10.244.0.10   kind-1-control-plane   <none>           <none>
metallb-system       speaker-b2ftg                                   1/1     Running   0          13m     172.17.0.2    kind-1-control-plane   <none>           <none>
spire                spire-agent-hwbfm                               1/1     Running   0          13m     172.17.0.2    kind-1-control-plane   <none>           <none>
spire                spire-server-0                                  2/2     Running   0          13m     10.244.0.5    kind-1-control-plane   <none>           <none>
wcm-system           connectivity-domain-operator-7cb485f58d-kn4rl   1/1     Running   0          13m     10.244.0.11   kind-1-control-plane   <none>           <none>
wcm-system           etcd-operator-84cf6bc5d5-jw865                  1/1     Running   0          13m     10.244.0.6    kind-1-control-plane   <none>           <none>
wcm-system           external-dns-849696cb6d-95nms                   1/1     Running   0          13m     10.244.0.9    kind-1-control-plane   <none>           <none>
wcm-system           green-app-dns-publisher-77755dcc55-f89st        1/1     Running   0          11m     10.244.0.20   kind-1-control-plane   <none>           <none>
wcm-system           green-bfd874d66-776fx                           1/1     Running   0          9m21s   10.244.0.21   kind-1-control-plane   <none>           <none>
wcm-system           green-cd-info-7bb7d547cf-f6vtn                  1/1     Running   0          11m     10.244.0.19   kind-1-control-plane   <none>           <none>
wcm-system           green-wcmd-5db775cb4c-s9rjt                     1/1     Running   0          11m     10.244.0.18   kind-1-control-plane   <none>           <none>
wcm-system           my-coredns-coredns-7d7ccd5547-jnslw             1/1     Running   0          13m     10.244.0.8    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-9kv6kzm7sx                     1/1     Running   0          12m     10.244.0.16   kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-khf4bhchnw                     1/1     Running   0          13m     10.244.0.13   kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-s8pmzd6wn6                     1/1     Running   0          13m     10.244.0.7    kind-1-control-plane   <none>           <none>
