==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.11 wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
2021-06-15 17:08:59.459854 I | etcdmain: etcd Version: 3.2.13
2021-06-15 17:08:59.463386 I | etcdmain: Git SHA: 95a726a
2021-06-15 17:08:59.463392 I | etcdmain: Go Version: go1.8.5
2021-06-15 17:08:59.463396 I | etcdmain: Go OS/Arch: linux/amd64
2021-06-15 17:08:59.463401 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-06-15 17:08:59.463513 I | embed: listening for peers on http://0.0.0.0:2380
2021-06-15 17:08:59.463556 I | embed: listening for client requests on 0.0.0.0:2379
2021-06-15 17:08:59.502738 W | pkg/netutil: failed resolving host wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-15 17:09:00.520087 W | pkg/netutil: failed resolving host wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-15 17:09:01.526102 W | pkg/netutil: failed resolving host wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-15 17:09:02.552233 W | pkg/netutil: failed resolving host wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-15 17:09:03.562432 W | pkg/netutil: failed resolving host wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-15 17:09:04.566834 I | pkg/netutil: resolving wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.11:2380
2021-06-15 17:09:04.572922 W | pkg/netutil: failed resolving host wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-15 17:09:05.586575 W | pkg/netutil: failed resolving host wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-15 17:09:06.639010 I | pkg/netutil: resolving wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.11:2380
2021-06-15 17:09:06.639318 I | etcdserver: name = wcm-etcd-cluster-5bk62j8jvc
2021-06-15 17:09:06.639439 I | etcdserver: data dir = /var/etcd/data
2021-06-15 17:09:06.639548 I | etcdserver: member dir = /var/etcd/data/member
2021-06-15 17:09:06.639652 I | etcdserver: heartbeat = 100ms
2021-06-15 17:09:06.639731 I | etcdserver: election = 1000ms
2021-06-15 17:09:06.639829 I | etcdserver: snapshot count = 100000
2021-06-15 17:09:06.639895 I | etcdserver: advertise client URLs = http://wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2379
2021-06-15 17:09:06.640037 I | etcdserver: initial advertise peer URLs = http://wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-15 17:09:06.640083 I | etcdserver: initial cluster = wcm-etcd-cluster-5bk62j8jvc=http://wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-15 17:09:06.649562 I | etcdserver: starting member f73078f82c3758a0 in cluster cc1049f0f2a6b583
