==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-mnjf7rjjql ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc'
nslookup: can't resolve 'wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.16 wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-mnjf7rjjql ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-mnjf7rjjql ====
2021-06-16 00:13:08.328456 I | etcdmain: etcd Version: 3.2.13
2021-06-16 00:13:08.328573 I | etcdmain: Git SHA: 95a726a
2021-06-16 00:13:08.328581 I | etcdmain: Go Version: go1.8.5
2021-06-16 00:13:08.328600 I | etcdmain: Go OS/Arch: linux/amd64
2021-06-16 00:13:08.328606 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-06-16 00:13:08.328706 I | embed: listening for peers on http://0.0.0.0:2380
2021-06-16 00:13:08.328748 I | embed: listening for client requests on 0.0.0.0:2379
2021-06-16 00:13:08.340841 W | pkg/netutil: failed resolving host wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-16 00:13:09.343929 W | pkg/netutil: failed resolving host wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-16 00:13:10.346238 I | pkg/netutil: resolving wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.16:2380
2021-06-16 00:13:10.350265 I | pkg/netutil: resolving wcm-etcd-cluster-mnjf7rjjql.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.16:2380
