==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
2021-06-16 00:12:19.396953 I | etcdmain: etcd Version: 3.2.13
2021-06-16 00:12:19.397599 I | etcdmain: Git SHA: 95a726a
2021-06-16 00:12:19.397608 I | etcdmain: Go Version: go1.8.5
2021-06-16 00:12:19.397615 I | etcdmain: Go OS/Arch: linux/amd64
2021-06-16 00:12:19.397632 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-06-16 00:12:19.397767 I | embed: listening for peers on http://0.0.0.0:2380
2021-06-16 00:12:19.397862 I | embed: listening for client requests on 0.0.0.0:2379
2021-06-16 00:12:19.409919 I | pkg/netutil: resolving wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-06-16 00:12:19.417799 W | pkg/netutil: failed resolving host wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-16 00:12:20.428555 W | pkg/netutil: failed resolving host wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-16 00:12:21.433689 I | pkg/netutil: resolving wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-06-16 00:12:21.433845 I | etcdserver: name = wcm-etcd-cluster-t2dqlx7cm7
2021-06-16 00:12:21.433990 I | etcdserver: data dir = /var/etcd/data
2021-06-16 00:12:21.433998 I | etcdserver: member dir = /var/etcd/data/member
2021-06-16 00:12:21.434004 I | etcdserver: heartbeat = 100ms
2021-06-16 00:12:21.434010 I | etcdserver: election = 1000ms
2021-06-16 00:12:21.434015 I | etcdserver: snapshot count = 100000
2021-06-16 00:12:21.434045 I | etcdserver: advertise client URLs = http://wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2379
2021-06-16 00:12:21.434055 I | etcdserver: initial advertise peer URLs = http://wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-16 00:12:21.434069 I | etcdserver: initial cluster = wcm-etcd-cluster-t2dqlx7cm7=http://wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-16 00:12:21.441294 I | etcdserver: starting member 3b0281aae13188e7 in cluster 89eee7d2d8bcc6a9
2021-06-16 00:12:21.441351 I | raft: 3b0281aae13188e7 became follower at term 0
2021-06-16 00:12:21.441367 I | raft: newRaft 3b0281aae13188e7 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2021-06-16 00:12:21.441378 I | raft: 3b0281aae13188e7 became follower at term 1
2021-06-16 00:12:21.457663 W | auth: simple token is not cryptographically signed
2021-06-16 00:12:21.460518 I | etcdserver: starting server... [version: 3.2.13, cluster version: to_be_decided]
2021-06-16 00:12:21.463002 I | etcdserver/membership: added member 3b0281aae13188e7 [http://wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 89eee7d2d8bcc6a9
2021-06-16 00:12:22.041830 I | raft: 3b0281aae13188e7 is starting a new election at term 1
2021-06-16 00:12:22.041894 I | raft: 3b0281aae13188e7 became candidate at term 2
2021-06-16 00:12:22.041928 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 2
2021-06-16 00:12:22.042136 I | raft: 3b0281aae13188e7 became leader at term 2
2021-06-16 00:12:22.042158 I | raft: raft.node: 3b0281aae13188e7 elected leader 3b0281aae13188e7 at term 2
2021-06-16 00:12:22.042718 I | etcdserver: published {Name:wcm-etcd-cluster-t2dqlx7cm7 ClientURLs:[http://wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc:2379]} to cluster 89eee7d2d8bcc6a9
2021-06-16 00:12:22.042959 I | embed: ready to serve client requests
2021-06-16 00:12:22.043294 I | etcdserver: setting up the initial cluster version to 3.2
2021-06-16 00:12:22.043661 N | etcdserver/membership: set the initial cluster version to 3.2
2021-06-16 00:12:22.043751 I | etcdserver/api: enabled capabilities for version 3.2
2021-06-16 00:12:22.044349 N | embed: serving insecure client requests on [::]:2379, this is strongly discouraged!
2021-06-16 00:12:24.173794 I | etcdserver/membership: added member 9a1d8025a2aec31a [http://wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 89eee7d2d8bcc6a9
2021-06-16 00:12:24.174031 I | rafthttp: starting peer 9a1d8025a2aec31a...
2021-06-16 00:12:24.174090 I | rafthttp: started HTTP pipelining with peer 9a1d8025a2aec31a
2021-06-16 00:12:24.176542 I | rafthttp: started streaming with peer 9a1d8025a2aec31a (writer)
2021-06-16 00:12:24.179001 I | rafthttp: started streaming with peer 9a1d8025a2aec31a (writer)
2021-06-16 00:12:24.179853 I | rafthttp: started peer 9a1d8025a2aec31a
2021-06-16 00:12:24.180035 I | rafthttp: added peer 9a1d8025a2aec31a
2021-06-16 00:12:24.180380 I | rafthttp: started streaming with peer 9a1d8025a2aec31a (stream MsgApp v2 reader)
2021-06-16 00:12:24.181525 I | rafthttp: started streaming with peer 9a1d8025a2aec31a (stream Message reader)
2021-06-16 00:12:26.044242 W | raft: 3b0281aae13188e7 stepped down to follower since quorum is not active
