==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
nslookup: can't resolve 'wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
2021-06-16 17:01:19.732317 I | etcdmain: etcd Version: 3.2.13
2021-06-16 17:01:19.733109 I | etcdmain: Git SHA: 95a726a
2021-06-16 17:01:19.733121 I | etcdmain: Go Version: go1.8.5
2021-06-16 17:01:19.733126 I | etcdmain: Go OS/Arch: linux/amd64
2021-06-16 17:01:19.733132 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-06-16 17:01:19.733387 I | embed: listening for peers on http://0.0.0.0:2380
2021-06-16 17:01:19.733543 I | embed: listening for client requests on 0.0.0.0:2379
2021-06-16 17:01:19.758607 W | pkg/netutil: failed resolving host wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-16 17:01:20.764224 I | pkg/netutil: resolving wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-06-16 17:01:20.770855 W | pkg/netutil: failed resolving host wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-16 17:01:21.773008 I | pkg/netutil: resolving wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-06-16 17:01:21.773470 I | etcdserver: name = wcm-etcd-cluster-vwvg9kdb82
2021-06-16 17:01:21.773585 I | etcdserver: data dir = /var/etcd/data
2021-06-16 17:01:21.773632 I | etcdserver: member dir = /var/etcd/data/member
2021-06-16 17:01:21.773639 I | etcdserver: heartbeat = 100ms
2021-06-16 17:01:21.773839 I | etcdserver: election = 1000ms
2021-06-16 17:01:21.774006 I | etcdserver: snapshot count = 100000
2021-06-16 17:01:21.774163 I | etcdserver: advertise client URLs = http://wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc:2379
2021-06-16 17:01:21.774311 I | etcdserver: initial advertise peer URLs = http://wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-16 17:01:21.774417 I | etcdserver: initial cluster = wcm-etcd-cluster-vwvg9kdb82=http://wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-16 17:01:21.784091 I | etcdserver: starting member 1fdb57acab506fd2 in cluster a31767a837ee33d3
2021-06-16 17:01:21.784132 I | raft: 1fdb57acab506fd2 became follower at term 0
2021-06-16 17:01:21.784144 I | raft: newRaft 1fdb57acab506fd2 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2021-06-16 17:01:21.784150 I | raft: 1fdb57acab506fd2 became follower at term 1
2021-06-16 17:01:21.803885 W | auth: simple token is not cryptographically signed
2021-06-16 17:01:21.809199 I | etcdserver: starting server... [version: 3.2.13, cluster version: to_be_decided]
2021-06-16 17:01:21.816218 I | etcdserver/membership: added member 1fdb57acab506fd2 [http://wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc:2380] to cluster a31767a837ee33d3
2021-06-16 17:01:22.084546 I | raft: 1fdb57acab506fd2 is starting a new election at term 1
2021-06-16 17:01:22.084640 I | raft: 1fdb57acab506fd2 became candidate at term 2
