==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
2021-06-14 14:49:24.372799 I | etcdmain: etcd Version: 3.2.13
2021-06-14 14:49:24.373464 I | etcdmain: Git SHA: 95a726a
2021-06-14 14:49:24.373469 I | etcdmain: Go Version: go1.8.5
2021-06-14 14:49:24.373473 I | etcdmain: Go OS/Arch: linux/amd64
2021-06-14 14:49:24.373477 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-06-14 14:49:24.373571 I | embed: listening for peers on http://0.0.0.0:2380
2021-06-14 14:49:24.373674 I | embed: listening for client requests on 0.0.0.0:2379
2021-06-14 14:49:24.384788 I | pkg/netutil: resolving wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-06-14 14:49:24.388491 W | pkg/netutil: failed resolving host wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-06-14 14:49:25.390787 I | pkg/netutil: resolving wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-06-14 14:49:25.390887 I | etcdserver: name = wcm-etcd-cluster-wjgxlzslq6
2021-06-14 14:49:25.390897 I | etcdserver: data dir = /var/etcd/data
2021-06-14 14:49:25.390904 I | etcdserver: member dir = /var/etcd/data/member
2021-06-14 14:49:25.390910 I | etcdserver: heartbeat = 100ms
2021-06-14 14:49:25.390915 I | etcdserver: election = 1000ms
2021-06-14 14:49:25.390920 I | etcdserver: snapshot count = 100000
2021-06-14 14:49:25.390941 I | etcdserver: advertise client URLs = http://wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc:2379
2021-06-14 14:49:25.391049 I | etcdserver: initial advertise peer URLs = http://wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-14 14:49:25.391131 I | etcdserver: initial cluster = wcm-etcd-cluster-wjgxlzslq6=http://wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc:2380
2021-06-14 14:49:25.398315 I | etcdserver: starting member 734c20f326580661 in cluster 66567b2efa916fe7
2021-06-14 14:49:25.398392 I | raft: 734c20f326580661 became follower at term 0
2021-06-14 14:49:25.398405 I | raft: newRaft 734c20f326580661 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2021-06-14 14:49:25.398412 I | raft: 734c20f326580661 became follower at term 1
2021-06-14 14:49:25.415581 W | auth: simple token is not cryptographically signed
2021-06-14 14:49:25.418928 I | etcdserver: starting server... [version: 3.2.13, cluster version: to_be_decided]
2021-06-14 14:49:25.421108 I | etcdserver/membership: added member 734c20f326580661 [http://wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 66567b2efa916fe7
2021-06-14 14:49:26.301619 I | raft: 734c20f326580661 is starting a new election at term 1
2021-06-14 14:49:26.301704 I | raft: 734c20f326580661 became candidate at term 2
2021-06-14 14:49:26.301724 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 2
2021-06-14 14:49:26.301736 I | raft: 734c20f326580661 became leader at term 2
2021-06-14 14:49:26.301744 I | raft: raft.node: 734c20f326580661 elected leader 734c20f326580661 at term 2
2021-06-14 14:49:26.302359 I | etcdserver: published {Name:wcm-etcd-cluster-wjgxlzslq6 ClientURLs:[http://wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc:2379]} to cluster 66567b2efa916fe7
2021-06-14 14:49:26.302426 I | etcdserver: setting up the initial cluster version to 3.2
2021-06-14 14:49:26.302675 I | embed: ready to serve client requests
2021-06-14 14:49:26.303134 N | etcdserver/membership: set the initial cluster version to 3.2
2021-06-14 14:49:26.303211 I | etcdserver/api: enabled capabilities for version 3.2
2021-06-14 14:49:26.306159 N | embed: serving insecure client requests on [::]:2379, this is strongly discouraged!
2021-06-14 14:49:29.210391 I | etcdserver/membership: added member 1c7dade43e0b3c2b [http://wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 66567b2efa916fe7
2021-06-14 14:49:29.210676 I | rafthttp: starting peer 1c7dade43e0b3c2b...
2021-06-14 14:49:29.210903 I | rafthttp: started HTTP pipelining with peer 1c7dade43e0b3c2b
2021-06-14 14:49:29.213358 I | rafthttp: started streaming with peer 1c7dade43e0b3c2b (writer)
2021-06-14 14:49:29.219461 I | rafthttp: started peer 1c7dade43e0b3c2b
