==== START logs for container etcd of pod kube-system/etcd-kind-2-control-plane ====
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-06-17 06:10:37.801703 I | etcdmain: etcd Version: 3.4.3
2021-06-17 06:10:37.801744 I | etcdmain: Git SHA: 3cf2f69b5
2021-06-17 06:10:37.801965 I | etcdmain: Go Version: go1.12.12
2021-06-17 06:10:37.801991 I | etcdmain: Go OS/Arch: linux/amd64
2021-06-17 06:10:37.802035 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-06-17 06:10:37.802340 I | embed: peerTLS: cert = /etc/kubernetes/pki/etcd/peer.crt, key = /etc/kubernetes/pki/etcd/peer.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2021-06-17 06:10:37.804463 I | embed: name = kind-2-control-plane
2021-06-17 06:10:37.804492 I | embed: data dir = /var/lib/etcd
2021-06-17 06:10:37.804498 I | embed: member dir = /var/lib/etcd/member
2021-06-17 06:10:37.804503 I | embed: heartbeat = 100ms
2021-06-17 06:10:37.804508 I | embed: election = 1000ms
2021-06-17 06:10:37.804512 I | embed: snapshot count = 10000
2021-06-17 06:10:37.804554 I | embed: advertise client URLs = https://172.17.0.3:2379
2021-06-17 06:10:37.818808 I | etcdserver: starting member b273bc7741bcb020 in cluster 86482fea2286a1d2
raft2021/06/17 06:10:37 INFO: b273bc7741bcb020 switched to configuration voters=()
raft2021/06/17 06:10:37 INFO: b273bc7741bcb020 became follower at term 0
raft2021/06/17 06:10:37 INFO: newRaft b273bc7741bcb020 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
raft2021/06/17 06:10:37 INFO: b273bc7741bcb020 became follower at term 1
raft2021/06/17 06:10:37 INFO: b273bc7741bcb020 switched to configuration voters=(12858828581462913056)
2021-06-17 06:10:37.825931 W | auth: simple token is not cryptographically signed
2021-06-17 06:10:37.832185 I | etcdserver: starting server... [version: 3.4.3, cluster version: to_be_decided]
2021-06-17 06:10:37.835652 I | etcdserver: b273bc7741bcb020 as single-node; fast-forwarding 9 ticks (election ticks 10)
raft2021/06/17 06:10:37 INFO: b273bc7741bcb020 switched to configuration voters=(12858828581462913056)
2021-06-17 06:10:37.836865 I | etcdserver/membership: added member b273bc7741bcb020 [https://172.17.0.3:2380] to cluster 86482fea2286a1d2
2021-06-17 06:10:37.839050 I | embed: ClientTLS: cert = /etc/kubernetes/pki/etcd/server.crt, key = /etc/kubernetes/pki/etcd/server.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2021-06-17 06:10:37.839654 I | embed: listening for metrics on http://127.0.0.1:2381
2021-06-17 06:10:37.839889 I | embed: listening for peers on 172.17.0.3:2380
raft2021/06/17 06:10:38 INFO: b273bc7741bcb020 is starting a new election at term 1
raft2021/06/17 06:10:38 INFO: b273bc7741bcb020 became candidate at term 2
raft2021/06/17 06:10:38 INFO: b273bc7741bcb020 received MsgVoteResp from b273bc7741bcb020 at term 2
raft2021/06/17 06:10:38 INFO: b273bc7741bcb020 became leader at term 2
raft2021/06/17 06:10:38 INFO: raft.node: b273bc7741bcb020 elected leader b273bc7741bcb020 at term 2
2021-06-17 06:10:38.820816 I | etcdserver: setting up the initial cluster version to 3.4
2021-06-17 06:10:38.821048 I | etcdserver: published {Name:kind-2-control-plane ClientURLs:[https://172.17.0.3:2379]} to cluster 86482fea2286a1d2
2021-06-17 06:10:38.821269 I | embed: ready to serve client requests
2021-06-17 06:10:38.821586 N | etcdserver/membership: set the initial cluster version to 3.4
2021-06-17 06:10:38.821733 I | etcdserver/api: enabled capabilities for version 3.4
2021-06-17 06:10:38.821811 I | embed: ready to serve client requests
2021-06-17 06:10:38.824173 I | embed: serving client requests on 127.0.0.1:2379
2021-06-17 06:10:38.835519 I | embed: serving client requests on 172.17.0.3:2379
2021-06-17 06:11:03.891526 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-proxy-8mwhv\" " with result "range_response_count:1 size:2116" took too long (161.213349ms) to execute
2021-06-17 06:11:03.891767 W | etcdserver: request "header:<ID:12691277995974229731 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/daemonsets/kube-system/kindnet\" mod_revision:360 > success:<request_put:<key:\"/registry/daemonsets/kube-system/kindnet\" value_size:984 >> failure:<request_range:<key:\"/registry/daemonsets/kube-system/kindnet\" > >>" with result "size:16" took too long (100.124375ms) to execute
2021-06-17 06:11:05.837677 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-controller-manager-kind-2-control-plane\" " with result "range_response_count:1 size:3172" took too long (173.589178ms) to execute
2021-06-17 06:11:06.036625 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-scheduler-kind-2-control-plane\" " with result "range_response_count:1 size:1693" took too long (192.602008ms) to execute
2021-06-17 06:13:40.452149 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:293" took too long (104.702282ms) to execute
2021-06-17 06:14:20.951716 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:293" took too long (140.735001ms) to execute
2021-06-17 06:16:08.022514 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-scheduler\" " with result "range_response_count:1 size:294" took too long (106.02505ms) to execute
2021-06-17 06:16:10.298276 W | etcdserver: read-only range request "key:\"/registry/leases/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:311" took too long (188.810128ms) to execute
2021-06-17 06:20:38.843692 I | mvcc: store.index: compact 1206
2021-06-17 06:20:38.863296 I | mvcc: finished scheduled compaction at 1206 (took 19.223015ms)
2021-06-17 06:25:38.848073 I | mvcc: store.index: compact 2015
2021-06-17 06:25:38.862288 I | mvcc: finished scheduled compaction at 2015 (took 13.804389ms)
2021-06-17 06:30:38.852901 I | mvcc: store.index: compact 2822
2021-06-17 06:30:38.869187 I | mvcc: finished scheduled compaction at 2822 (took 15.595181ms)
2021-06-17 06:35:38.857588 I | mvcc: store.index: compact 4118
2021-06-17 06:35:38.876290 I | mvcc: finished scheduled compaction at 4118 (took 17.907819ms)
2021-06-17 06:40:38.864062 I | mvcc: store.index: compact 5025
2021-06-17 06:40:38.879009 I | mvcc: finished scheduled compaction at 5025 (took 14.136103ms)
2021-06-17 06:45:38.869413 I | mvcc: store.index: compact 5872
2021-06-17 06:45:38.884629 I | mvcc: finished scheduled compaction at 5872 (took 14.714732ms)
2021-06-17 06:50:38.873492 I | mvcc: store.index: compact 6723
2021-06-17 06:50:38.887736 I | mvcc: finished scheduled compaction at 6723 (took 13.730909ms)
2021-06-17 06:55:38.878136 I | mvcc: store.index: compact 7585
2021-06-17 06:55:38.892163 I | mvcc: finished scheduled compaction at 7585 (took 13.484306ms)
2021-06-17 06:59:30.277934 I | etcdserver: start to snapshot (applied: 10001, lastsnap: 0)
2021-06-17 06:59:30.288485 I | etcdserver: saved snapshot at index 10001
2021-06-17 06:59:30.288624 I | etcdserver: compacted raft log at 5001
2021-06-17 07:00:38.882863 I | mvcc: store.index: compact 8450
2021-06-17 07:00:38.896967 I | mvcc: finished scheduled compaction at 8450 (took 13.546226ms)
2021-06-17 07:05:38.887097 I | mvcc: store.index: compact 9294
2021-06-17 07:05:38.901637 I | mvcc: finished scheduled compaction at 9294 (took 13.974492ms)
2021-06-17 07:10:38.891358 I | mvcc: store.index: compact 10148
2021-06-17 07:10:38.906409 I | mvcc: finished scheduled compaction at 10148 (took 14.396417ms)
2021-06-17 07:15:38.895991 I | mvcc: store.index: compact 10989
2021-06-17 07:15:38.910100 I | mvcc: finished scheduled compaction at 10989 (took 13.619259ms)
2021-06-17 07:20:38.900342 I | mvcc: store.index: compact 11837
2021-06-17 07:20:38.915912 I | mvcc: finished scheduled compaction at 11837 (took 14.755043ms)
2021-06-17 07:25:38.906545 I | mvcc: store.index: compact 12678
2021-06-17 07:25:38.920538 I | mvcc: finished scheduled compaction at 12678 (took 13.477896ms)
2021-06-17 07:30:38.911228 I | mvcc: store.index: compact 13517
2021-06-17 07:30:38.926202 I | mvcc: finished scheduled compaction at 13517 (took 14.484559ms)
2021-06-17 07:35:38.916273 I | mvcc: store.index: compact 14356
2021-06-17 07:35:38.933633 I | mvcc: finished scheduled compaction at 14356 (took 16.793957ms)
2021-06-17 07:40:38.921314 I | mvcc: store.index: compact 15180
