NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
default              helloworld-green-679c6b6b65-rl8bm              3/3     Running   0          19m   10.244.0.17   kind-2-control-plane   <none>           <none>
default              member-core-operator-d598d4888-nv6xv           1/1     Running   0          22m   10.244.0.6    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-8bdl2                       1/1     Running   0          29m   10.244.0.4    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-pt6ck                       1/1     Running   0          29m   10.244.0.3    kind-2-control-plane   <none>           <none>
kube-system          etcd-kind-2-control-plane                      1/1     Running   0          29m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kindnet-nhcqm                                  1/1     Running   0          29m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-2-control-plane            1/1     Running   0          29m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-2-control-plane   1/1     Running   0          29m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-proxy-k25np                               1/1     Running   0          29m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-2-control-plane            1/1     Running   0          29m   172.17.0.3    kind-2-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-cr4vt         1/1     Running   0          29m   10.244.0.2    kind-2-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-5hppn                    1/1     Running   0          22m   10.244.0.5    kind-2-control-plane   <none>           <none>
metallb-system       speaker-dl27t                                  1/1     Running   0          22m   172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-c4db96966-l89sq       1/1     Running   0          22m   10.244.0.9    kind-2-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-2g29n                    1/1     Running   0          22m   10.244.0.10   kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-684d7fd7b5-mnf8p     1/1     Running   0          22m   10.244.0.11   kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-s5dnb                    1/1     Running   0          22m   172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-7z474                                3/3     Running   0          22m   10.244.0.13   kind-2-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-7599b46ff-9z8qf                2/2     Running   0          22m   10.244.0.12   kind-2-control-plane   <none>           <none>
spire                wcm-spire-agent-fmdlm                          1/1     Running   0          22m   172.17.0.3    kind-2-control-plane   <none>           <none>
spire                wcm-spire-server-0                             2/2     Running   0          22m   10.244.0.8    kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-green-76bc7f4b96-2npzw                 1/1     Running   0          20m   10.244.0.16   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-green-76bc7f4b96-lvd5j                 1/1     Running   0          20m   10.244.0.15   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-6fd76df87f-s4ld2             1/1     Running   0          22m   10.244.0.14   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-6fb5b6fb4c-8r9bv              1/1     Running   0          22m   10.244.0.7    kind-2-control-plane   <none>           <none>
