NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
default              helloworld-green-64b8686595-t4nmt              3/3     Running   0          62s     10.244.0.20   kind-3-control-plane   <none>           <none>
default              member-core-operator-d598d4888-58vcr           1/1     Running   0          13m     10.244.0.6    kind-3-control-plane   <none>           <none>
kube-system          coredns-6955765f44-ff8gw                       1/1     Running   0          28m     10.244.0.4    kind-3-control-plane   <none>           <none>
kube-system          coredns-6955765f44-zwbls                       1/1     Running   0          28m     10.244.0.3    kind-3-control-plane   <none>           <none>
kube-system          etcd-kind-3-control-plane                      1/1     Running   0          28m     172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kindnet-qsdjt                                  1/1     Running   0          28m     172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-3-control-plane            1/1     Running   0          28m     172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-3-control-plane   1/1     Running   0          28m     172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kube-proxy-979j7                               1/1     Running   0          28m     172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-3-control-plane            1/1     Running   0          28m     172.17.0.4    kind-3-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-gsvxs         1/1     Running   0          28m     10.244.0.2    kind-3-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-txbpp                    1/1     Running   0          13m     10.244.0.5    kind-3-control-plane   <none>           <none>
metallb-system       speaker-wmn7w                                  1/1     Running   0          13m     172.17.0.4    kind-3-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-c4db96966-9c96p       1/1     Running   0          12m     10.244.0.10   kind-3-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-8n49b                    1/1     Running   0          12m     10.244.0.9    kind-3-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-684d7fd7b5-l8vqv     1/1     Running   0          12m     10.244.0.11   kind-3-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-pppxt                    1/1     Running   0          12m     172.17.0.4    kind-3-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-zzpxt                                3/3     Running   0          12m     10.244.0.13   kind-3-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-7599b46ff-5ln8b                2/2     Running   0          12m     10.244.0.12   kind-3-control-plane   <none>           <none>
spire                wcm-spire-agent-4gfcf                          1/1     Running   0          13m     172.17.0.4    kind-3-control-plane   <none>           <none>
spire                wcm-spire-server-0                             2/2     Running   0          12m     10.244.0.15   kind-3-control-plane   <none>           <none>
wcm-system           vl3-nse-green-7555496c4c-lnmdj                 1/1     Running   0          2m7s    10.244.0.19   kind-3-control-plane   <none>           <none>
wcm-system           vl3-nse-green-7555496c4c-s6q9x                 1/1     Running   0          6m44s   10.244.0.18   kind-3-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-5f68d85698-p8cbz             1/1     Running   0          12m     10.244.0.14   kind-3-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-6fb5b6fb4c-5qztg              1/1     Running   0          13m     10.244.0.7    kind-3-control-plane   <none>           <none>
