NAMESPACE            NAME                                            READY   STATUS    RESTARTS   AGE     IP            NODE                    NOMINATED NODE   READINESS GATES
istio-system         istio-ingressgateway-5c658595cb-n2wn8           1/1     Running   0          10m     10.244.0.16   kind-10-control-plane   <none>           <none>
istio-system         istio-operator-69678d7cfb-dllg7                 1/1     Running   0          11m     10.244.0.14   kind-10-control-plane   <none>           <none>
istio-system         istiod-85c587c85c-q5q6g                         1/1     Running   0          11m     10.244.0.15   kind-10-control-plane   <none>           <none>
kube-system          coredns-6955765f44-4q2cr                        1/1     Running   0          14m     10.244.0.3    kind-10-control-plane   <none>           <none>
kube-system          coredns-6955765f44-t8ngp                        1/1     Running   0          14m     10.244.0.5    kind-10-control-plane   <none>           <none>
kube-system          etcd-kind-10-control-plane                      1/1     Running   0          15m     172.17.0.2    kind-10-control-plane   <none>           <none>
kube-system          kindnet-bngvj                                   1/1     Running   0          14m     172.17.0.2    kind-10-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-10-control-plane            1/1     Running   0          15m     172.17.0.2    kind-10-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-10-control-plane   1/1     Running   0          15m     172.17.0.2    kind-10-control-plane   <none>           <none>
kube-system          kube-proxy-fh7rg                                1/1     Running   0          14m     172.17.0.2    kind-10-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-10-control-plane            1/1     Running   0          15m     172.17.0.2    kind-10-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-mf7dr          1/1     Running   0          14m     10.244.0.4    kind-10-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-5cmq5                     1/1     Running   0          11m     10.244.0.12   kind-10-control-plane   <none>           <none>
metallb-system       speaker-tgv2g                                   1/1     Running   0          11m     172.17.0.2    kind-10-control-plane   <none>           <none>
spire                spire-agent-955sr                               1/1     Running   0          14m     172.17.0.2    kind-10-control-plane   <none>           <none>
spire                spire-server-0                                  2/2     Running   0          14m     10.244.0.2    kind-10-control-plane   <none>           <none>
wcm-system           connectivity-domain-operator-7fc4d6d597-g77zg   1/1     Running   0          11m     10.244.0.13   kind-10-control-plane   <none>           <none>
wcm-system           etcd-operator-5f79997845-rfd2k                  1/1     Running   0          13m     10.244.0.6    kind-10-control-plane   <none>           <none>
wcm-system           example-74f5b56bfb-kbkwk                        1/1     Running   0          8m23s   10.244.0.17   kind-10-control-plane   <none>           <none>
wcm-system           example-app-dns-publisher-7fcddd4689-zfm8k      1/1     Running   1          8m20s   10.244.0.20   kind-10-control-plane   <none>           <none>
wcm-system           example-cd-info-66c77dd8d-m5llv                 1/1     Running   0          8m21s   10.244.0.19   kind-10-control-plane   <none>           <none>
wcm-system           example-wcmd-755c7c55c5-kvzfc                   1/1     Running   0          8m23s   10.244.0.18   kind-10-control-plane   <none>           <none>
wcm-system           external-dns-57cb7c56bf-6xhds                   1/1     Running   0          11m     10.244.0.11   kind-10-control-plane   <none>           <none>
wcm-system           my-coredns-coredns-7d7ccd5547-nnxtb             1/1     Running   0          11m     10.244.0.10   kind-10-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-7r4847ld8s                     1/1     Running   0          13m     10.244.0.7    kind-10-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-9tnjzvwg92                     1/1     Running   0          12m     10.244.0.9    kind-10-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-rz8bn4795l                     1/1     Running   0          12m     10.244.0.8    kind-10-control-plane   <none>           <none>
