==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc'
nslookup: can't resolve 'wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-7r4847ld8s ====
2021-09-23 23:03:02.858134 I | etcdmain: etcd Version: 3.2.13
2021-09-23 23:03:02.858193 I | etcdmain: Git SHA: 95a726a
2021-09-23 23:03:02.858197 I | etcdmain: Go Version: go1.8.5
2021-09-23 23:03:02.858203 I | etcdmain: Go OS/Arch: linux/amd64
2021-09-23 23:03:02.858207 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-09-23 23:03:02.858273 I | embed: listening for peers on http://0.0.0.0:2380
2021-09-23 23:03:02.858310 I | embed: listening for client requests on 0.0.0.0:2379
2021-09-23 23:03:02.867509 W | pkg/netutil: failed resolving host wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-09-23 23:03:03.869683 I | pkg/netutil: resolving wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-09-23 23:03:03.871196 W | pkg/netutil: failed resolving host wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-09-23 23:03:04.878995 W | pkg/netutil: failed resolving host wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-09-23 23:03:05.880412 I | pkg/netutil: resolving wcm-etcd-cluster-7r4847ld8s.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-09-23 23:03:05.880502 I | etcdserver: name = wcm-etcd-cluster-7r4847ld8s
2021-09-23 23:03:05.880518 I | etcdserver: data dir = /var/etcd/data
