NAMESPACE            NAME                                            READY   STATUS     RESTARTS   AGE    IP            NODE                    NOMINATED NODE   READINESS GATES
default              helloworld-example-58d46c56d8-ppm6g             0/1     Init:0/1   0          6m3s   10.244.0.18   kind-11-control-plane   <none>           <none>
default              member-core-operator-56f5b8f76c-5j5gs           1/1     Running    0          11m    10.244.0.7    kind-11-control-plane   <none>           <none>
kube-system          coredns-6955765f44-hmlz8                        1/1     Running    0          14m    10.244.0.5    kind-11-control-plane   <none>           <none>
kube-system          coredns-6955765f44-phjf6                        1/1     Running    0          14m    10.244.0.3    kind-11-control-plane   <none>           <none>
kube-system          etcd-kind-11-control-plane                      1/1     Running    0          14m    172.17.0.3    kind-11-control-plane   <none>           <none>
kube-system          kindnet-h26fb                                   1/1     Running    0          14m    172.17.0.3    kind-11-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-11-control-plane            1/1     Running    0          14m    172.17.0.3    kind-11-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-11-control-plane   1/1     Running    0          14m    172.17.0.3    kind-11-control-plane   <none>           <none>
kube-system          kube-proxy-fpbk6                                1/1     Running    0          14m    172.17.0.3    kind-11-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-11-control-plane            1/1     Running    0          14m    172.17.0.3    kind-11-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-98hvm          1/1     Running    0          14m    10.244.0.2    kind-11-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-xxmfh                     1/1     Running    0          11m    10.244.0.6    kind-11-control-plane   <none>           <none>
metallb-system       speaker-7zp5s                                   1/1     Running    0          11m    172.17.0.3    kind-11-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-778f845ddc-w6qqs       1/1     Running    1          11m    10.244.0.8    kind-11-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-hpw5b                     1/1     Running    0          11m    10.244.0.9    kind-11-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-74c9466775-cbdmg      1/1     Running    0          11m    10.244.0.10   kind-11-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-9bqrq                     1/1     Running    0          11m    172.17.0.3    kind-11-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-sgcdf                                 3/3     Running    0          11m    10.244.0.12   kind-11-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-56c849db8c-xv7r9                2/2     Running    0          11m    10.244.0.11   kind-11-control-plane   <none>           <none>
spire                spire-agent-z86x7                               1/1     Running    0          13m    172.17.0.3    kind-11-control-plane   <none>           <none>
spire                spire-server-0                                  2/2     Running    0          14m    10.244.0.4    kind-11-control-plane   <none>           <none>
wcm-system           vl3-nse-example-5859574cb9-lzths                1/1     Running    0          8m8s   10.244.0.15   kind-11-control-plane   <none>           <none>
wcm-system           vl3-nse-example-5859574cb9-vsm49                1/1     Running    0          8m8s   10.244.0.16   kind-11-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-7d675cc5f6-7597g              1/1     Running    0          11m    10.244.0.13   kind-11-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-784fc6cb88-pv5kd               1/1     Running    0          10m    10.244.0.14   kind-11-control-plane   <none>           <none>
