NAMESPACE            NAME                                            READY   STATUS     RESTARTS   AGE     IP            NODE                    NOMINATED NODE   READINESS GATES
default              helloworld-example-7759fb5db-kk4jk              0/1     Init:0/1   0          6m10s   10.244.0.18   kind-12-control-plane   <none>           <none>
default              member-core-operator-56f5b8f76c-jgszc           1/1     Running    0          10m     10.244.0.7    kind-12-control-plane   <none>           <none>
kube-system          coredns-6955765f44-rbnxs                        1/1     Running    0          14m     10.244.0.3    kind-12-control-plane   <none>           <none>
kube-system          coredns-6955765f44-sq2zq                        1/1     Running    0          14m     10.244.0.4    kind-12-control-plane   <none>           <none>
kube-system          etcd-kind-12-control-plane                      1/1     Running    0          14m     172.17.0.4    kind-12-control-plane   <none>           <none>
kube-system          kindnet-2q5w7                                   1/1     Running    0          14m     172.17.0.4    kind-12-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-12-control-plane            1/1     Running    0          14m     172.17.0.4    kind-12-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-12-control-plane   1/1     Running    0          14m     172.17.0.4    kind-12-control-plane   <none>           <none>
kube-system          kube-proxy-2d5hz                                1/1     Running    0          14m     172.17.0.4    kind-12-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-12-control-plane            1/1     Running    0          14m     172.17.0.4    kind-12-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-j88jk          1/1     Running    0          14m     10.244.0.2    kind-12-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-qb8gd                     1/1     Running    0          10m     10.244.0.6    kind-12-control-plane   <none>           <none>
metallb-system       speaker-xj6hz                                   1/1     Running    0          10m     172.17.0.4    kind-12-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-778f845ddc-fkppb       1/1     Running    2          10m     10.244.0.8    kind-12-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-92p64                     1/1     Running    0          10m     10.244.0.9    kind-12-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-74c9466775-dbcmn      1/1     Running    0          10m     10.244.0.10   kind-12-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-khpv4                     1/1     Running    0          9m56s   172.17.0.4    kind-12-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-b8pkv                                 3/3     Running    0          9m54s   10.244.0.12   kind-12-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-56c849db8c-l5bk9                2/2     Running    0          9m56s   10.244.0.11   kind-12-control-plane   <none>           <none>
spire                spire-agent-2qw7m                               1/1     Running    0          13m     172.17.0.4    kind-12-control-plane   <none>           <none>
spire                spire-server-0                                  2/2     Running    0          13m     10.244.0.5    kind-12-control-plane   <none>           <none>
wcm-system           vl3-nse-example-dff8646dd-ch2hz                 1/1     Running    0          8m4s    10.244.0.15   kind-12-control-plane   <none>           <none>
wcm-system           vl3-nse-example-dff8646dd-dgzfk                 1/1     Running    0          8m4s    10.244.0.16   kind-12-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-7bbb7c68d9-rvrp8              1/1     Running    0          9m49s   10.244.0.13   kind-12-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-784fc6cb88-jpp6b               1/1     Running    0          8m38s   10.244.0.14   kind-12-control-plane   <none>           <none>
