NAMESPACE            NAME                                            READY   STATUS             RESTARTS   AGE     IP            NODE                    NOMINATED NODE   READINESS GATES
default              member-core-operator-644545b85b-phj45           1/1     Running            0          3m33s   10.244.0.3    kind-13-control-plane   <none>           <none>
kube-system          coredns-6955765f44-2hcsz                        1/1     Running            0          3m33s   10.244.0.5    kind-13-control-plane   <none>           <none>
kube-system          coredns-6955765f44-9rc74                        1/1     Running            0          3m33s   10.244.0.6    kind-13-control-plane   <none>           <none>
kube-system          etcd-kind-13-control-plane                      1/1     Running            0          3m48s   172.17.0.5    kind-13-control-plane   <none>           <none>
kube-system          kindnet-mqqf6                                   1/1     Running            0          3m33s   172.17.0.5    kind-13-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-13-control-plane            1/1     Running            0          3m48s   172.17.0.5    kind-13-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-13-control-plane   1/1     Running            0          3m48s   172.17.0.5    kind-13-control-plane   <none>           <none>
kube-system          kube-proxy-b2d8w                                1/1     Running            0          3m33s   172.17.0.5    kind-13-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-13-control-plane            1/1     Running            0          3m48s   172.17.0.5    kind-13-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-7745554f7f-hh2sh         1/1     Running            0          3m33s   10.244.0.2    kind-13-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-p7xcs                     1/1     Running            0          3m33s   10.244.0.4    kind-13-control-plane   <none>           <none>
metallb-system       speaker-2vnfn                                   1/1     Running            0          3m18s   172.17.0.5    kind-13-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-7bd457d694-v2z8p       1/1     Running            2          3m11s   10.244.0.7    kind-13-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-sg5bn                     1/1     Running            0          3m10s   10.244.0.8    kind-13-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-58f55f6b7f-66xdj      1/1     Running            0          3m9s    10.244.0.9    kind-13-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-wkjhs                     1/1     Running            0          3m5s    172.17.0.5    kind-13-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-sr822                                 3/3     Running            0          3m2s    10.244.0.11   kind-13-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-8467bc95c5-6tjjb                2/2     Running            0          3m3s    10.244.0.10   kind-13-control-plane   <none>           <none>
wcm-system           vl3-nse-example-7b4fc58cf-pln87                 1/1     Running            0          2m2s    10.244.0.14   kind-13-control-plane   <none>           <none>
wcm-system           vl3-nse-example-7b4fc58cf-zmjbz                 1/1     Running            0          2m2s    10.244.0.15   kind-13-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-7868b849d9-sld87              0/1     ImagePullBackOff   0          2m58s   10.244.0.12   kind-13-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-f6654ccbf-gcgpj                1/1     Running            0          2m8s    10.244.0.13   kind-13-control-plane   <none>           <none>
