NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
istio-system         istio-ingressgateway-5c658595cb-kqpmz          1/1     Running   0          12m     10.244.0.16   kind-1-control-plane   <none>           <none>
istio-system         istio-operator-69678d7cfb-2qj8x                1/1     Running   0          13m     10.244.0.14   kind-1-control-plane   <none>           <none>
istio-system         istiod-85c587c85c-k9kpw                        1/1     Running   0          13m     10.244.0.15   kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-47cdz                       1/1     Running   0          19m     10.244.0.4    kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-bcdks                       1/1     Running   0          19m     10.244.0.3    kind-1-control-plane   <none>           <none>
kube-system          etcd-kind-1-control-plane                      1/1     Running   0          19m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kindnet-qws4x                                  1/1     Running   0          19m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-1-control-plane            1/1     Running   0          19m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-1-control-plane   1/1     Running   0          19m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-proxy-cs25s                               1/1     Running   0          19m     172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-1-control-plane            1/1     Running   0          19m     172.17.0.2    kind-1-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-m9gl8         1/1     Running   0          19m     10.244.0.2    kind-1-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-m5x5p                    1/1     Running   0          13m     10.244.0.12   kind-1-control-plane   <none>           <none>
metallb-system       speaker-f7csg                                  1/1     Running   0          13m     172.17.0.2    kind-1-control-plane   <none>           <none>
spire                spire-agent-drd5f                              1/1     Running   0          15m     172.17.0.2    kind-1-control-plane   <none>           <none>
spire                spire-server-0                                 2/2     Running   0          15m     10.244.0.5    kind-1-control-plane   <none>           <none>
wcm-system           connectivity-domain-operator-7db4d7548-v7dgz   1/1     Running   0          13m     10.244.0.13   kind-1-control-plane   <none>           <none>
wcm-system           etcd-operator-84cf6bc5d5-jlwpx                 1/1     Running   0          15m     10.244.0.6    kind-1-control-plane   <none>           <none>
wcm-system           example-776f8865c5-d5drk                       1/1     Running   0          3m48s   10.244.0.25   kind-1-control-plane   <none>           <none>
wcm-system           example-app-dns-publisher-5496bfb898-5lvsf     1/1     Running   0          3m46s   10.244.0.28   kind-1-control-plane   <none>           <none>
wcm-system           example-cd-info-f67f994fd-gr8k8                1/1     Running   0          3m47s   10.244.0.27   kind-1-control-plane   <none>           <none>
wcm-system           example-wcmd-5594b68857-kkcfn                  1/1     Running   0          3m47s   10.244.0.26   kind-1-control-plane   <none>           <none>
wcm-system           external-dns-849696cb6d-94ns5                  1/1     Running   0          13m     10.244.0.11   kind-1-control-plane   <none>           <none>
wcm-system           green-689c6795dd-9tz24                         1/1     Running   0          5m57s   10.244.0.21   kind-1-control-plane   <none>           <none>
wcm-system           green-app-dns-publisher-85c7964589-j2675       1/1     Running   0          5m53s   10.244.0.24   kind-1-control-plane   <none>           <none>
wcm-system           green-cd-info-669f849cd4-kkdfj                 1/1     Running   0          5m54s   10.244.0.23   kind-1-control-plane   <none>           <none>
wcm-system           green-wcmd-56f648f664-66x77                    1/1     Running   0          5m55s   10.244.0.22   kind-1-control-plane   <none>           <none>
wcm-system           my-coredns-coredns-7d7ccd5547-6n48k            1/1     Running   0          13m     10.244.0.10   kind-1-control-plane   <none>           <none>
wcm-system           red-6458bd788d-z8w78                           1/1     Running   0          11m     10.244.0.17   kind-1-control-plane   <none>           <none>
wcm-system           red-app-dns-publisher-65d96fdbf4-dcbbw         1/1     Running   0          10m     10.244.0.20   kind-1-control-plane   <none>           <none>
wcm-system           red-cd-info-58bb5df4bd-5qlhj                   1/1     Running   0          11m     10.244.0.19   kind-1-control-plane   <none>           <none>
wcm-system           red-wcmd-58cf5b8d64-8vsjl                      1/1     Running   0          11m     10.244.0.18   kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-cxfqsmw5k8                    1/1     Running   0          15m     10.244.0.7    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-m2msqh99fc                    1/1     Running   0          15m     10.244.0.8    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-mlbghvd5pg                    1/1     Running   0          14m     10.244.0.9    kind-1-control-plane   <none>           <none>
