==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
2021-05-12 06:27:25.168713 I | etcdmain: etcd Version: 3.2.13
2021-05-12 06:27:25.168796 I | etcdmain: Git SHA: 95a726a
2021-05-12 06:27:25.168800 I | etcdmain: Go Version: go1.8.5
2021-05-12 06:27:25.168804 I | etcdmain: Go OS/Arch: linux/amd64
2021-05-12 06:27:25.168808 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-05-12 06:27:25.168881 I | embed: listening for peers on http://0.0.0.0:2380
2021-05-12 06:27:25.168939 I | embed: listening for client requests on 0.0.0.0:2379
2021-05-12 06:27:25.174530 I | pkg/netutil: resolving wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-05-12 06:27:25.177427 W | pkg/netutil: failed resolving host wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-12 06:27:26.180461 W | pkg/netutil: failed resolving host wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-12 06:27:27.182504 I | pkg/netutil: resolving wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-05-12 06:27:27.182605 I | etcdserver: name = wcm-etcd-cluster-cxfqsmw5k8
2021-05-12 06:27:27.182620 I | etcdserver: data dir = /var/etcd/data
2021-05-12 06:27:27.182666 I | etcdserver: member dir = /var/etcd/data/member
2021-05-12 06:27:27.182691 I | etcdserver: heartbeat = 100ms
2021-05-12 06:27:27.182697 I | etcdserver: election = 1000ms
2021-05-12 06:27:27.182702 I | etcdserver: snapshot count = 100000
2021-05-12 06:27:27.182714 I | etcdserver: advertise client URLs = http://wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2379
2021-05-12 06:27:27.182720 I | etcdserver: initial advertise peer URLs = http://wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2380
2021-05-12 06:27:27.182773 I | etcdserver: initial cluster = wcm-etcd-cluster-cxfqsmw5k8=http://wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2380
2021-05-12 06:27:27.188064 I | etcdserver: starting member 154a89996a795b25 in cluster d2e30ad3d9954339
2021-05-12 06:27:27.188103 I | raft: 154a89996a795b25 became follower at term 0
2021-05-12 06:27:27.188114 I | raft: newRaft 154a89996a795b25 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2021-05-12 06:27:27.188120 I | raft: 154a89996a795b25 became follower at term 1
2021-05-12 06:27:27.197686 W | auth: simple token is not cryptographically signed
2021-05-12 06:27:27.200664 I | etcdserver: starting server... [version: 3.2.13, cluster version: to_be_decided]
2021-05-12 06:27:27.201915 I | etcdserver/membership: added member 154a89996a795b25 [http://wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2380] to cluster d2e30ad3d9954339
2021-05-12 06:27:27.788420 I | raft: 154a89996a795b25 is starting a new election at term 1
2021-05-12 06:27:27.788524 I | raft: 154a89996a795b25 became candidate at term 2
2021-05-12 06:27:27.788547 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 2
2021-05-12 06:27:27.788565 I | raft: 154a89996a795b25 became leader at term 2
2021-05-12 06:27:27.788575 I | raft: raft.node: 154a89996a795b25 elected leader 154a89996a795b25 at term 2
2021-05-12 06:27:27.788867 I | etcdserver: setting up the initial cluster version to 3.2
2021-05-12 06:27:27.789740 N | etcdserver/membership: set the initial cluster version to 3.2
2021-05-12 06:27:27.789812 I | etcdserver/api: enabled capabilities for version 3.2
2021-05-12 06:27:27.789991 I | etcdserver: published {Name:wcm-etcd-cluster-cxfqsmw5k8 ClientURLs:[http://wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc:2379]} to cluster d2e30ad3d9954339
2021-05-12 06:27:27.790026 I | embed: ready to serve client requests
2021-05-12 06:27:27.790397 N | embed: serving insecure client requests on [::]:2379, this is strongly discouraged!
2021-05-12 06:27:39.537416 I | etcdserver/membership: added member dab54abf8c2e7b39 [http://wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc:2380] to cluster d2e30ad3d9954339
2021-05-12 06:27:39.537460 I | rafthttp: starting peer dab54abf8c2e7b39...
2021-05-12 06:27:39.537492 I | rafthttp: started HTTP pipelining with peer dab54abf8c2e7b39
2021-05-12 06:27:39.539253 I | rafthttp: started streaming with peer dab54abf8c2e7b39 (writer)
