NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
istio-system         istio-ingressgateway-5c658595cb-s94xp          1/1     Running   0          48m   10.244.0.16   kind-1-control-plane   <none>           <none>
istio-system         istio-operator-69678d7cfb-mrr8g                1/1     Running   0          49m   10.244.0.14   kind-1-control-plane   <none>           <none>
istio-system         istiod-85c587c85c-d8sq5                        1/1     Running   0          48m   10.244.0.15   kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-ldrh6                       1/1     Running   0          60m   10.244.0.3    kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-tfcxg                       1/1     Running   0          60m   10.244.0.4    kind-1-control-plane   <none>           <none>
kube-system          etcd-kind-1-control-plane                      1/1     Running   0          60m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kindnet-l27dd                                  1/1     Running   0          60m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-1-control-plane            1/1     Running   0          60m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-1-control-plane   1/1     Running   0          60m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-proxy-j26lb                               1/1     Running   0          60m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-1-control-plane            1/1     Running   0          60m   172.17.0.2    kind-1-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-w45nh         1/1     Running   0          60m   10.244.0.2    kind-1-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-wqqvb                    1/1     Running   0          49m   10.244.0.12   kind-1-control-plane   <none>           <none>
metallb-system       speaker-5sc6x                                  1/1     Running   0          49m   172.17.0.2    kind-1-control-plane   <none>           <none>
spire                spire-agent-mn455                              1/1     Running   0          51m   172.17.0.2    kind-1-control-plane   <none>           <none>
spire                spire-server-0                                 2/2     Running   0          51m   10.244.0.5    kind-1-control-plane   <none>           <none>
wcm-system           connectivity-domain-operator-7db4d7548-2sm6l   1/1     Running   0          49m   10.244.0.13   kind-1-control-plane   <none>           <none>
wcm-system           etcd-operator-84cf6bc5d5-fztrr                 1/1     Running   0          51m   10.244.0.6    kind-1-control-plane   <none>           <none>
wcm-system           external-dns-849696cb6d-bfvps                  1/1     Running   0          49m   10.244.0.11   kind-1-control-plane   <none>           <none>
wcm-system           my-coredns-coredns-7d7ccd5547-pcggt            1/1     Running   0          49m   10.244.0.10   kind-1-control-plane   <none>           <none>
wcm-system           red-6458bd788d-fmmtr                           1/1     Running   0          11m   10.244.0.17   kind-1-control-plane   <none>           <none>
wcm-system           red-app-dns-publisher-85c96d5565-8mhk8         1/1     Running   0          11m   10.244.0.20   kind-1-control-plane   <none>           <none>
wcm-system           red-cd-info-58bb5df4bd-clms7                   1/1     Running   0          11m   10.244.0.19   kind-1-control-plane   <none>           <none>
wcm-system           red-wcmd-58cf5b8d64-k8b6c                      1/1     Running   0          11m   10.244.0.18   kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-6hkhrtbjt6                    1/1     Running   0          51m   10.244.0.7    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-6sszbwjwsp                    1/1     Running   0          50m   10.244.0.8    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-9r7n22q5fb                    1/1     Running   0          50m   10.244.0.9    kind-1-control-plane   <none>           <none>
