==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-6hkhrtbjt6 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-6hkhrtbjt6 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-6hkhrtbjt6 ====
2021-05-12 15:32:34.038728 I | etcdmain: etcd Version: 3.2.13
2021-05-12 15:32:34.038825 I | etcdmain: Git SHA: 95a726a
2021-05-12 15:32:34.038832 I | etcdmain: Go Version: go1.8.5
2021-05-12 15:32:34.038838 I | etcdmain: Go OS/Arch: linux/amd64
2021-05-12 15:32:34.038843 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-05-12 15:32:34.039006 I | embed: listening for peers on http://0.0.0.0:2380
2021-05-12 15:32:34.039097 I | embed: listening for client requests on 0.0.0.0:2379
2021-05-12 15:32:34.047248 W | pkg/netutil: failed resolving host wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-12 15:32:35.050681 W | pkg/netutil: failed resolving host wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-12 15:32:36.052639 I | pkg/netutil: resolving wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-05-12 15:32:36.055204 W | pkg/netutil: failed resolving host wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-12 15:32:37.059062 W | pkg/netutil: failed resolving host wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-12 15:32:38.062699 W | pkg/netutil: failed resolving host wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-12 15:32:39.065664 I | pkg/netutil: resolving wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.7:2380
2021-05-12 15:32:39.065771 I | etcdserver: name = wcm-etcd-cluster-6hkhrtbjt6
2021-05-12 15:32:39.065780 I | etcdserver: data dir = /var/etcd/data
2021-05-12 15:32:39.065789 I | etcdserver: member dir = /var/etcd/data/member
2021-05-12 15:32:39.065794 I | etcdserver: heartbeat = 100ms
2021-05-12 15:32:39.065800 I | etcdserver: election = 1000ms
2021-05-12 15:32:39.065805 I | etcdserver: snapshot count = 100000
2021-05-12 15:32:39.065833 I | etcdserver: advertise client URLs = http://wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2379
2021-05-12 15:32:39.065841 I | etcdserver: initial advertise peer URLs = http://wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380
2021-05-12 15:32:39.065854 I | etcdserver: initial cluster = wcm-etcd-cluster-6hkhrtbjt6=http://wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380
2021-05-12 15:32:39.073057 I | etcdserver: starting member 1afaa34d30c74b14 in cluster 74bcdef574ac2569
2021-05-12 15:32:39.073134 I | raft: 1afaa34d30c74b14 became follower at term 0
2021-05-12 15:32:39.073145 I | raft: newRaft 1afaa34d30c74b14 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2021-05-12 15:32:39.073150 I | raft: 1afaa34d30c74b14 became follower at term 1
2021-05-12 15:32:39.102845 W | auth: simple token is not cryptographically signed
2021-05-12 15:32:39.107686 I | etcdserver: starting server... [version: 3.2.13, cluster version: to_be_decided]
2021-05-12 15:32:39.109471 I | etcdserver/membership: added member 1afaa34d30c74b14 [http://wcm-etcd-cluster-6hkhrtbjt6.wcm-etcd-cluster.wcm-system.svc:2380] to cluster 74bcdef574ac2569
2021-05-12 15:32:39.673707 I | raft: 1afaa34d30c74b14 is starting a new election at term 1
