NAMESPACE            NAME                                           READY   STATUS                  RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
default              helloworld-red-68dbc97f45-6vzj5                0/3     Init:CrashLoopBackOff   5          10m   10.244.0.27   kind-3-control-plane   <none>           <none>
default              member-core-operator-55bdfffc85-7xkvf          1/1     Running                 0          12m   10.244.0.16   kind-3-control-plane   <none>           <none>
kube-system          coredns-6955765f44-jg76n                       1/1     Running                 0          59m   10.244.0.4    kind-3-control-plane   <none>           <none>
kube-system          coredns-6955765f44-xcznq                       1/1     Running                 0          59m   10.244.0.2    kind-3-control-plane   <none>           <none>
kube-system          etcd-kind-3-control-plane                      1/1     Running                 0          59m   172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kindnet-hgmcp                                  1/1     Running                 0          59m   172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-3-control-plane            1/1     Running                 0          59m   172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-3-control-plane   1/1     Running                 0          59m   172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kube-proxy-7vd2h                               1/1     Running                 0          59m   172.17.0.4    kind-3-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-3-control-plane            1/1     Running                 0          59m   172.17.0.4    kind-3-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-rsx2q         1/1     Running                 0          59m   10.244.0.3    kind-3-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-l8vk7                    1/1     Running                 0          12m   10.244.0.15   kind-3-control-plane   <none>           <none>
metallb-system       speaker-c8c29                                  1/1     Running                 0          12m   172.17.0.4    kind-3-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-5d88f56767-l9mrw      1/1     Running                 2          12m   10.244.0.17   kind-3-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-55v6j                    1/1     Running                 0          12m   10.244.0.18   kind-3-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-65cfbdd6b9-6bm2g     1/1     Running                 0          12m   10.244.0.20   kind-3-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-qtqtt                    1/1     Running                 0          12m   172.17.0.4    kind-3-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-zf84f                                3/3     Running                 0          12m   10.244.0.22   kind-3-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-5796ffd7cc-sx57z               2/2     Running                 0          12m   10.244.0.21   kind-3-control-plane   <none>           <none>
spire                wcm-spire-agent-fzbjb                          1/1     Running                 0          12m   172.17.0.4    kind-3-control-plane   <none>           <none>
spire                wcm-spire-server-0                             2/2     Running                 0          12m   10.244.0.19   kind-3-control-plane   <none>           <none>
wcm-system           vl3-nse-red-59ffd88496-6kbcq                   1/1     Running                 0          11m   10.244.0.25   kind-3-control-plane   <none>           <none>
wcm-system           vl3-nse-red-59ffd88496-g5w8s                   1/1     Running                 0          11m   10.244.0.26   kind-3-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-6577b59495-frslb             1/1     Running                 0          11m   10.244.0.23   kind-3-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-845589cf95-n5b7r              1/1     Running                 0          11m   10.244.0.24   kind-3-control-plane   <none>           <none>
