==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-kind-1-control-plane ====
I0510 23:03:43.146776       1 serving.go:312] Generated self-signed cert in-memory
I0510 23:03:43.384856       1 controllermanager.go:161] Version: v1.17.5
I0510 23:03:43.385506       1 dynamic_cafile_content.go:166] Starting request-header::/etc/kubernetes/pki/front-proxy-ca.crt
I0510 23:03:43.385543       1 dynamic_cafile_content.go:166] Starting client-ca-bundle::/etc/kubernetes/pki/ca.crt
I0510 23:03:43.386145       1 secure_serving.go:178] Serving securely on 127.0.0.1:10257
I0510 23:03:43.386184       1 tlsconfig.go:219] Starting DynamicServingCertificateController
I0510 23:03:43.386575       1 deprecated_insecure_serving.go:53] Serving insecurely on [::]:10252
I0510 23:03:43.386740       1 leaderelection.go:242] attempting to acquire leader lease  kube-system/kube-controller-manager...
E0510 23:03:45.639966       1 leaderelection.go:331] error retrieving resource lock kube-system/kube-controller-manager: endpoints "kube-controller-manager" is forbidden: User "system:kube-controller-manager" cannot get resource "endpoints" in API group "" in the namespace "kube-system"
I0510 23:03:49.714330       1 leaderelection.go:252] successfully acquired lease kube-system/kube-controller-manager
I0510 23:03:49.714610       1 event.go:281] Event(v1.ObjectReference{Kind:"Endpoints", Namespace:"kube-system", Name:"kube-controller-manager", UID:"5a42d1ca-bbac-4f01-9605-18f8e929be28", APIVersion:"v1", ResourceVersion:"197", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' kind-1-control-plane_4ba53dd7-f290-4633-89aa-54c04f33769e became leader
I0510 23:03:49.714651       1 event.go:281] Event(v1.ObjectReference{Kind:"Lease", Namespace:"kube-system", Name:"kube-controller-manager", UID:"bb0bbdbe-7018-466e-ab3a-99282926fee3", APIVersion:"coordination.k8s.io/v1", ResourceVersion:"198", FieldPath:""}): type: 'Normal' reason: 'LeaderElection' kind-1-control-plane_4ba53dd7-f290-4633-89aa-54c04f33769e became leader
I0510 23:03:49.970772       1 plugins.go:100] No cloud provider specified.
W0510 23:03:49.971448       1 controllermanager.go:525] Skipping "endpointslice"
I0510 23:03:49.971520       1 shared_informer.go:197] Waiting for caches to sync for tokens
I0510 23:03:50.071913       1 shared_informer.go:204] Caches are synced for tokens 
I0510 23:03:50.097521       1 node_lifecycle_controller.go:77] Sending events to api server
E0510 23:03:50.097989       1 core.go:232] failed to start cloud node lifecycle controller: no cloud provider provided
W0510 23:03:50.098233       1 controllermanager.go:525] Skipping "cloud-node-lifecycle"
I0510 23:03:50.116804       1 controllermanager.go:533] Started "persistentvolume-binder"
I0510 23:03:50.116901       1 pv_controller_base.go:294] Starting persistent volume controller
I0510 23:03:50.116932       1 shared_informer.go:197] Waiting for caches to sync for persistent volume
I0510 23:03:50.132036       1 controllermanager.go:533] Started "podgc"
I0510 23:03:50.132186       1 gc_controller.go:88] Starting GC controller
I0510 23:03:50.132220       1 shared_informer.go:197] Waiting for caches to sync for GC
I0510 23:03:50.656859       1 garbagecollector.go:129] Starting garbage collector controller
I0510 23:03:50.656903       1 shared_informer.go:197] Waiting for caches to sync for garbage collector
I0510 23:03:50.656868       1 controllermanager.go:533] Started "garbagecollector"
I0510 23:03:50.657040       1 graph_builder.go:282] GraphBuilder running
I0510 23:03:50.674166       1 controllermanager.go:533] Started "tokencleaner"
I0510 23:03:50.674297       1 tokencleaner.go:117] Starting token cleaner controller
I0510 23:03:50.674303       1 shared_informer.go:197] Waiting for caches to sync for token_cleaner
I0510 23:03:50.674308       1 shared_informer.go:204] Caches are synced for token_cleaner 
I0510 23:03:50.690308       1 controllermanager.go:533] Started "pvc-protection"
I0510 23:03:50.690447       1 pvc_protection_controller.go:100] Starting PVC protection controller
