NAMESPACE            NAME                                            READY   STATUS             RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
istio-system         istio-ingressgateway-5c658595cb-5jv85           1/1     Running            0          13m   10.244.0.15   kind-1-control-plane   <none>           <none>
istio-system         istio-operator-69678d7cfb-4krpv                 1/1     Running            0          14m   10.244.0.13   kind-1-control-plane   <none>           <none>
istio-system         istiod-85c587c85c-nnl2h                         1/1     Running            0          13m   10.244.0.14   kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-ddjrz                        1/1     Running            0          18m   10.244.0.4    kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-l2d9z                        1/1     Running            0          18m   10.244.0.2    kind-1-control-plane   <none>           <none>
kube-system          etcd-kind-1-control-plane                       1/1     Running            0          18m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kindnet-r89mf                                   1/1     Running            1          18m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-1-control-plane             1/1     Running            0          18m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-1-control-plane    1/1     Running            0          18m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-proxy-sv2g8                                1/1     Running            0          18m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-1-control-plane             1/1     Running            0          18m   172.17.0.2    kind-1-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-n74h5          1/1     Running            0          18m   10.244.0.3    kind-1-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-cpvnn                     1/1     Running            0          14m   10.244.0.11   kind-1-control-plane   <none>           <none>
metallb-system       speaker-wvf4j                                   1/1     Running            0          14m   172.17.0.2    kind-1-control-plane   <none>           <none>
wcm-system           connectivity-domain-operator-57cd8b958b-vpwqc   0/1     CrashLoopBackOff   6          14m   10.244.0.12   kind-1-control-plane   <none>           <none>
wcm-system           etcd-operator-84cf6bc5d5-8wgvr                  1/1     Running            0          16m   10.244.0.5    kind-1-control-plane   <none>           <none>
wcm-system           external-dns-849696cb6d-strlx                   1/1     Running            1          14m   10.244.0.10   kind-1-control-plane   <none>           <none>
wcm-system           green-64fcf49d96-ch4vt                          1/1     Running            0          11m   10.244.0.16   kind-1-control-plane   <none>           <none>
wcm-system           green-cd-info-778bf88966-hm4jp                  1/1     Running            0          11m   10.244.0.18   kind-1-control-plane   <none>           <none>
wcm-system           green-wcmd-74f7c68c54-7p95d                     1/1     Running            0          11m   10.244.0.17   kind-1-control-plane   <none>           <none>
wcm-system           my-coredns-coredns-7d7ccd5547-95mjp             1/1     Running            0          14m   10.244.0.9    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-5k2f6pdcg5                     1/1     Running            0          16m   10.244.0.7    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-95tnqstv7s                     1/1     Running            0          16m   10.244.0.6    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-d7dkswpdrl                     1/1     Running            0          15m   10.244.0.8    kind-1-control-plane   <none>           <none>
