NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
default              helloworld-green-7c95645db9-gp485              3/3     Running   0          7m8s    10.244.0.16   kind-2-control-plane   <none>           <none>
default              member-core-operator-56f5b8f76c-hxbrk          1/1     Running   0          16m     10.244.0.6    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-cltwc                       1/1     Running   0          19m     10.244.0.4    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-lgfpt                       1/1     Running   0          19m     10.244.0.3    kind-2-control-plane   <none>           <none>
kube-system          etcd-kind-2-control-plane                      1/1     Running   0          19m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kindnet-9nkxz                                  1/1     Running   1          19m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-2-control-plane            1/1     Running   0          19m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-2-control-plane   1/1     Running   0          19m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-proxy-b99n2                               1/1     Running   0          19m     172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-2-control-plane            1/1     Running   0          19m     172.17.0.3    kind-2-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-4d5fc         1/1     Running   0          19m     10.244.0.2    kind-2-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-22j2m                    1/1     Running   0          16m     10.244.0.5    kind-2-control-plane   <none>           <none>
metallb-system       speaker-wtbxq                                  1/1     Running   0          16m     172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-6845699c87-txv8d      1/1     Running   0          16m     10.244.0.7    kind-2-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-5v85c                    1/1     Running   0          16m     10.244.0.8    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-74c9466775-8nvlh     1/1     Running   0          16m     10.244.0.9    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-bf6zq                    1/1     Running   0          16m     172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-4jd8f                                3/3     Running   0          16m     10.244.0.11   kind-2-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-7694b88585-sws4p               2/2     Running   0          16m     10.244.0.10   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-green-5d69d4457b-dwc94                 1/1     Running   0          7m17s   10.244.0.14   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-green-5d69d4457b-tgs4r                 1/1     Running   0          7m17s   10.244.0.15   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-7d9bdc4d98-ms4z6             1/1     Running   0          16m     10.244.0.12   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-5dc4bb578c-lkjc9              1/1     Running   0          13m     10.244.0.13   kind-2-control-plane   <none>           <none>
