NAMESPACE            NAME                                            READY   STATUS    RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
default              helloworld-example-6b584dbf9f-hklzk             3/3     Running   0          19m   10.244.0.38   kind-1-control-plane   <none>           <none>
default              member-core-operator-55bdfffc85-dpcgh           1/1     Running   0          50m   10.244.0.24   kind-1-control-plane   <none>           <none>
istio-system         istio-ingressgateway-5c658595cb-tl24x           1/1     Running   0          54m   10.244.0.15   kind-1-control-plane   <none>           <none>
istio-system         istio-operator-69678d7cfb-mwrj9                 1/1     Running   0          54m   10.244.0.13   kind-1-control-plane   <none>           <none>
istio-system         istiod-85c587c85c-fr6hb                         1/1     Running   0          54m   10.244.0.14   kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-dgtnd                        1/1     Running   0          57m   10.244.0.4    kind-1-control-plane   <none>           <none>
kube-system          coredns-6955765f44-nntvm                        1/1     Running   0          57m   10.244.0.3    kind-1-control-plane   <none>           <none>
kube-system          etcd-kind-1-control-plane                       1/1     Running   0          58m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kindnet-r6bjl                                   1/1     Running   0          57m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-1-control-plane             1/1     Running   0          58m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-1-control-plane    1/1     Running   0          58m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-proxy-2q69k                                1/1     Running   0          57m   172.17.0.2    kind-1-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-1-control-plane             1/1     Running   0          58m   172.17.0.2    kind-1-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-ml4ts          1/1     Running   0          57m   10.244.0.2    kind-1-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-rn7sd                     1/1     Running   0          54m   10.244.0.11   kind-1-control-plane   <none>           <none>
metallb-system       speaker-4hq6x                                   1/1     Running   0          54m   172.17.0.2    kind-1-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-d89574d4f-42p4k        1/1     Running   0          49m   10.244.0.26   kind-1-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-dc5wl                     1/1     Running   0          49m   10.244.0.27   kind-1-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-65cfbdd6b9-dmkwc      1/1     Running   0          49m   10.244.0.28   kind-1-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-jl6bs                     1/1     Running   0          49m   172.17.0.2    kind-1-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-c289z                                 3/3     Running   0          49m   10.244.0.30   kind-1-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-75df66768f-7j48s                2/2     Running   0          49m   10.244.0.29   kind-1-control-plane   <none>           <none>
wcm-system           connectivity-domain-operator-64db8f64fc-8tr4t   1/1     Running   0          54m   10.244.0.12   kind-1-control-plane   <none>           <none>
wcm-system           etcd-operator-84cf6bc5d5-jfjgw                  1/1     Running   0          56m   10.244.0.5    kind-1-control-plane   <none>           <none>
wcm-system           example-5978f7f5ff-9vbxl                        1/1     Running   0          52m   10.244.0.20   kind-1-control-plane   <none>           <none>
wcm-system           example-app-dns-publisher-6b8f578d79-58fpg      1/1     Running   0          52m   10.244.0.23   kind-1-control-plane   <none>           <none>
wcm-system           example-cd-info-77f4d7fbbb-qf4z8                1/1     Running   0          52m   10.244.0.22   kind-1-control-plane   <none>           <none>
wcm-system           example-wcmd-648f4c6f97-pwtzh                   1/1     Running   0          52m   10.244.0.21   kind-1-control-plane   <none>           <none>
wcm-system           external-dns-849696cb6d-n72pq                   1/1     Running   0          54m   10.244.0.10   kind-1-control-plane   <none>           <none>
wcm-system           my-coredns-coredns-7d7ccd5547-9nwjl             1/1     Running   0          54m   10.244.0.9    kind-1-control-plane   <none>           <none>
wcm-system           vl3-nse-example-5f77749bd4-k8qck                1/1     Running   0          24m   10.244.0.37   kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-5pp5mk4j2k                     1/1     Running   0          56m   10.244.0.7    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-jb88gxnntd                     1/1     Running   0          56m   10.244.0.6    kind-1-control-plane   <none>           <none>
wcm-system           wcm-etcd-cluster-wxcb7gt5qz                     1/1     Running   0          55m   10.244.0.8    kind-1-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-9d8cfcc95-4sqfm               1/1     Running   0          49m   10.244.0.31   kind-1-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-6857b7ffbd-b9c87               1/1     Running   0          24m   10.244.0.36   kind-1-control-plane   <none>           <none>
