==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-jb88gxnntd ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.6 wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-jb88gxnntd ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-jb88gxnntd ====
2021-05-21 20:10:57.014086 I | etcdmain: etcd Version: 3.2.13
2021-05-21 20:10:57.014185 I | etcdmain: Git SHA: 95a726a
2021-05-21 20:10:57.014191 I | etcdmain: Go Version: go1.8.5
2021-05-21 20:10:57.014196 I | etcdmain: Go OS/Arch: linux/amd64
2021-05-21 20:10:57.014201 I | etcdmain: setting maximum number of CPUs to 4, total number of available CPUs is 4
2021-05-21 20:10:57.014627 I | embed: listening for peers on http://0.0.0.0:2380
2021-05-21 20:10:57.014673 I | embed: listening for client requests on 0.0.0.0:2379
2021-05-21 20:10:57.029972 W | pkg/netutil: failed resolving host wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc:2380 (lookup wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host); retrying in 1s
2021-05-21 20:10:58.033594 I | pkg/netutil: resolving wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.6:2380
2021-05-21 20:10:58.035266 I | pkg/netutil: resolving wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc:2380 to 10.244.0.6:2380
2021-05-21 20:10:58.035549 I | etcdserver: name = wcm-etcd-cluster-jb88gxnntd
2021-05-21 20:10:58.035576 I | etcdserver: data dir = /var/etcd/data
2021-05-21 20:10:58.035584 I | etcdserver: member dir = /var/etcd/data/member
2021-05-21 20:10:58.035588 I | etcdserver: heartbeat = 100ms
2021-05-21 20:10:58.035592 I | etcdserver: election = 1000ms
2021-05-21 20:10:58.035595 I | etcdserver: snapshot count = 100000
2021-05-21 20:10:58.035605 I | etcdserver: advertise client URLs = http://wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc:2379
2021-05-21 20:10:58.035610 I | etcdserver: initial advertise peer URLs = http://wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc:2380
2021-05-21 20:10:58.035620 I | etcdserver: initial cluster = wcm-etcd-cluster-jb88gxnntd=http://wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc:2380
2021-05-21 20:10:58.040148 I | etcdserver: starting member 271c4f659f4d0168 in cluster b4de11cb80cc9e47
2021-05-21 20:10:58.040339 I | raft: 271c4f659f4d0168 became follower at term 0
2021-05-21 20:10:58.040503 I | raft: newRaft 271c4f659f4d0168 [peers: [], term: 0, commit: 0, applied: 0, lastindex: 0, lastterm: 0]
2021-05-21 20:10:58.040529 I | raft: 271c4f659f4d0168 became follower at term 1
2021-05-21 20:10:58.048434 W | auth: simple token is not cryptographically signed
2021-05-21 20:10:58.051509 I | etcdserver: starting server... [version: 3.2.13, cluster version: to_be_decided]
2021-05-21 20:10:58.052311 I | etcdserver/membership: added member 271c4f659f4d0168 [http://wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc:2380] to cluster b4de11cb80cc9e47
2021-05-21 20:10:58.840948 I | raft: 271c4f659f4d0168 is starting a new election at term 1
2021-05-21 20:10:58.841045 I | raft: 271c4f659f4d0168 became candidate at term 2
2021-05-21 20:10:58.841068 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 2
2021-05-21 20:10:58.841087 I | raft: 271c4f659f4d0168 became leader at term 2
2021-05-21 20:10:58.841097 I | raft: raft.node: 271c4f659f4d0168 elected leader 271c4f659f4d0168 at term 2
2021-05-21 20:10:58.841350 I | etcdserver: setting up the initial cluster version to 3.2
2021-05-21 20:10:58.842255 N | etcdserver/membership: set the initial cluster version to 3.2
2021-05-21 20:10:58.842324 I | etcdserver/api: enabled capabilities for version 3.2
2021-05-21 20:10:58.842384 I | embed: ready to serve client requests
2021-05-21 20:10:58.842463 I | etcdserver: published {Name:wcm-etcd-cluster-jb88gxnntd ClientURLs:[http://wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc:2379]} to cluster b4de11cb80cc9e47
2021-05-21 20:10:58.842732 N | embed: serving insecure client requests on [::]:2379, this is strongly discouraged!
2021-05-21 20:11:05.242442 I | etcdserver/membership: added member 995d30318a37bae9 [http://wcm-etcd-cluster-5pp5mk4j2k.wcm-etcd-cluster.wcm-system.svc:2380] to cluster b4de11cb80cc9e47
2021-05-21 20:11:05.242488 I | rafthttp: starting peer 995d30318a37bae9...
2021-05-21 20:11:05.242521 I | rafthttp: started HTTP pipelining with peer 995d30318a37bae9
2021-05-21 20:11:05.243743 I | rafthttp: started streaming with peer 995d30318a37bae9 (writer)
2021-05-21 20:11:05.245655 I | rafthttp: started streaming with peer 995d30318a37bae9 (writer)
2021-05-21 20:11:05.246105 I | rafthttp: started peer 995d30318a37bae9
2021-05-21 20:11:05.246339 I | rafthttp: added peer 995d30318a37bae9
2021-05-21 20:11:05.246456 I | rafthttp: started streaming with peer 995d30318a37bae9 (stream Message reader)
2021-05-21 20:11:05.247357 I | rafthttp: started streaming with peer 995d30318a37bae9 (stream MsgApp v2 reader)
2021-05-21 20:11:06.841005 W | raft: 271c4f659f4d0168 stepped down to follower since quorum is not active
2021-05-21 20:11:06.841109 I | raft: 271c4f659f4d0168 became follower at term 2
2021-05-21 20:11:06.841120 I | raft: raft.node: 271c4f659f4d0168 lost leader 271c4f659f4d0168 at term 2
2021-05-21 20:11:08.141033 I | raft: 271c4f659f4d0168 is starting a new election at term 2
2021-05-21 20:11:08.141079 I | raft: 271c4f659f4d0168 became candidate at term 3
2021-05-21 20:11:08.141093 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 3
2021-05-21 20:11:08.141106 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 3
2021-05-21 20:11:09.140971 I | raft: 271c4f659f4d0168 is starting a new election at term 3
2021-05-21 20:11:09.141029 I | raft: 271c4f659f4d0168 became candidate at term 4
2021-05-21 20:11:09.141042 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 4
2021-05-21 20:11:09.141054 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 4
2021-05-21 20:11:10.247421 W | rafthttp: health check for peer 995d30318a37bae9 could not connect: dial tcp: lookup wcm-etcd-cluster-5pp5mk4j2k.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-21 20:11:10.440998 I | raft: 271c4f659f4d0168 is starting a new election at term 4
2021-05-21 20:11:10.441060 I | raft: 271c4f659f4d0168 became candidate at term 5
2021-05-21 20:11:10.441073 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 5
2021-05-21 20:11:10.441087 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 5
2021-05-21 20:11:12.040979 I | raft: 271c4f659f4d0168 is starting a new election at term 5
2021-05-21 20:11:12.041022 I | raft: 271c4f659f4d0168 became candidate at term 6
2021-05-21 20:11:12.041035 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 6
2021-05-21 20:11:12.041045 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 6
2021-05-21 20:11:13.240950 I | raft: 271c4f659f4d0168 is starting a new election at term 6
2021-05-21 20:11:13.240987 I | raft: 271c4f659f4d0168 became candidate at term 7
2021-05-21 20:11:13.240999 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 7
2021-05-21 20:11:13.241011 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 7
2021-05-21 20:11:15.040962 I | raft: 271c4f659f4d0168 is starting a new election at term 7
2021-05-21 20:11:15.041009 I | raft: 271c4f659f4d0168 became candidate at term 8
2021-05-21 20:11:15.041024 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 8
2021-05-21 20:11:15.041038 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 8
2021-05-21 20:11:15.247648 W | rafthttp: health check for peer 995d30318a37bae9 could not connect: dial tcp: lookup wcm-etcd-cluster-5pp5mk4j2k.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-21 20:11:16.640985 I | raft: 271c4f659f4d0168 is starting a new election at term 8
2021-05-21 20:11:16.641031 I | raft: 271c4f659f4d0168 became candidate at term 9
2021-05-21 20:11:16.641045 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 9
2021-05-21 20:11:16.641059 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 9
2021-05-21 20:11:17.941004 I | raft: 271c4f659f4d0168 is starting a new election at term 9
2021-05-21 20:11:17.941053 I | raft: 271c4f659f4d0168 became candidate at term 10
2021-05-21 20:11:17.941067 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 10
2021-05-21 20:11:17.941081 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 10
2021-05-21 20:11:19.541054 I | raft: 271c4f659f4d0168 is starting a new election at term 10
2021-05-21 20:11:19.541095 I | raft: 271c4f659f4d0168 became candidate at term 11
2021-05-21 20:11:19.541121 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 11
2021-05-21 20:11:19.541135 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 11
2021-05-21 20:11:20.247870 W | rafthttp: health check for peer 995d30318a37bae9 could not connect: dial tcp: lookup wcm-etcd-cluster-5pp5mk4j2k.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-21 20:11:21.440962 I | raft: 271c4f659f4d0168 is starting a new election at term 11
2021-05-21 20:11:21.441015 I | raft: 271c4f659f4d0168 became candidate at term 12
2021-05-21 20:11:21.441030 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 12
2021-05-21 20:11:21.441042 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 12
2021-05-21 20:11:23.041007 I | raft: 271c4f659f4d0168 is starting a new election at term 12
2021-05-21 20:11:23.041088 I | raft: 271c4f659f4d0168 became candidate at term 13
2021-05-21 20:11:23.041110 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 13
2021-05-21 20:11:23.041166 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 13
2021-05-21 20:11:24.740992 I | raft: 271c4f659f4d0168 is starting a new election at term 13
2021-05-21 20:11:24.741030 I | raft: 271c4f659f4d0168 became candidate at term 14
2021-05-21 20:11:24.741042 I | raft: 271c4f659f4d0168 received MsgVoteResp from 271c4f659f4d0168 at term 14
2021-05-21 20:11:24.741050 I | raft: 271c4f659f4d0168 [logterm: 2, index: 5] sent MsgVote request to 995d30318a37bae9 at term 14
2021-05-21 20:11:25.248120 W | rafthttp: health check for peer 995d30318a37bae9 could not connect: dial tcp: lookup wcm-etcd-cluster-5pp5mk4j2k.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-21 20:11:26.140964 I | raft: 271c4f659f4d0168 is starting a new election at term 14
2021-05-21 20:11:26.141015 I | raft: 271c4f659f4d0168 became candidate at term 15
