NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE   IP            NODE                   NOMINATED NODE   READINESS GATES
default              helloworld-example-b47b5cc85-vfrkj             3/3     Running   0          16m   10.244.0.19   kind-2-control-plane   <none>           <none>
default              member-core-operator-55bdfffc85-bqn7t          1/1     Running   0          56m   10.244.0.4    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-4c2xc                       1/1     Running   0          57m   10.244.0.6    kind-2-control-plane   <none>           <none>
kube-system          coredns-6955765f44-cnt52                       1/1     Running   0          57m   10.244.0.5    kind-2-control-plane   <none>           <none>
kube-system          etcd-kind-2-control-plane                      1/1     Running   0          57m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kindnet-mvlsv                                  1/1     Running   0          57m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-apiserver-kind-2-control-plane            1/1     Running   0          57m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-2-control-plane   1/1     Running   0          57m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-proxy-xq9cb                               1/1     Running   0          57m   172.17.0.3    kind-2-control-plane   <none>           <none>
kube-system          kube-scheduler-kind-2-control-plane            1/1     Running   0          57m   172.17.0.3    kind-2-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-58f6947c7-xsr64         1/1     Running   0          57m   10.244.0.2    kind-2-control-plane   <none>           <none>
metallb-system       controller-65895b47d4-tbgjv                    1/1     Running   0          56m   10.244.0.3    kind-2-control-plane   <none>           <none>
metallb-system       speaker-w6njl                                  1/1     Running   0          56m   172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-crossconnect-monitor-d89574d4f-6trxz       1/1     Running   0          56m   10.244.0.7    kind-2-control-plane   <none>           <none>
nsm-system           wcm-jaeger-86c548cd44-fhglc                    1/1     Running   0          56m   10.244.0.8    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-admission-webhook-65cfbdd6b9-24x96     1/1     Running   0          56m   10.244.0.9    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsm-vpp-forwarder-5tcf9                    1/1     Running   0          56m   172.17.0.3    kind-2-control-plane   <none>           <none>
nsm-system           wcm-nsmgr-lml4x                                3/3     Running   0          56m   10.244.0.11   kind-2-control-plane   <none>           <none>
nsm-system           wcm-proxy-nsmgr-75df66768f-9q4z8               2/2     Running   0          56m   10.244.0.10   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-example-9b57cccc7-666pb                1/1     Running   0          52m   10.244.0.16   kind-2-control-plane   <none>           <none>
wcm-system           vl3-nse-example-9b57cccc7-7qtql                1/1     Running   0          52m   10.244.0.17   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-discovery-64f568bdc4-nrlvd             1/1     Running   0          56m   10.244.0.12   kind-2-control-plane   <none>           <none>
wcm-system           wcm-nse-operator-649647db6b-q22zf              1/1     Running   0          55m   10.244.0.13   kind-2-control-plane   <none>           <none>
